language_dependency,function_name,line_number,call_body
abbreviate,labels.rpart,70,"lapply(xlevels, abbreviate, minlength, ...)"
any,labels.rpart,43,"any(ncat < 2L)"
any,labels.rpart,52,"any(ncat > 1L)"
any,labels.rpart,65,"any(ncat > 52L)"
as.character,labels.rpart,99,"as.character(vnames)"
as.logical,labels.rpart,102,"as.logical(node %% 2L)"
as.numeric,labels.rpart,100,"as.numeric(row.names(ff))"
attr,labels.rpart,53,"attr(object, ""xlevels"")"
c,labels.rpart,34,"c(1, ff$ncompete + ff$nsurrogate + !is.leaf)"
c,labels.rpart,35,"c(whichrow, FALSE)"
c,labels.rpart,68,"c(letters, LETTERS)"
cbind,labels.rpart,90,"cbind(ltemp, rtemp)"
character,labels.rpart,41,"character(length(irow))"
character,labels.rpart,104,"character(n)"
cumsum,labels.rpart,34,"cumsum(c(1, ff$ncompete + ff$nsurrogate + !is.leaf))"
ifelse,labels.rpart,46,"ifelse(ncat < 0, ""< "", "">="")"
ifelse,labels.rpart,47,"ifelse(ncat < 0, "">="", ""< "")"
ifelse,labels.rpart,93,"ifelse(ncat < 2L, """", ""="")"
ifelse,labels.rpart,94,"ifelse(ncat < 2L, """", ""="")"
is.logical,labels.rpart,21,"is.logical(pretty)"
is.null,labels.rpart,20,"is.null(pretty)"
lapply,labels.rpart,68,"lapply(xlevels, function(z) c(letters, LETTERS)[pmin(seq_along(z), 52L)])"
lapply,labels.rpart,70,"lapply(xlevels, abbreviate, minlength, ...)"
length,labels.rpart,41,"length(irow)"
match,labels.rpart,61,"match(vnames, names(xlevels))"
match,labels.rpart,101,"match(node %/% 2L, node[whichrow])"
missing,labels.rpart,19,"missing(minlength)"
missing,labels.rpart,19,"missing(pretty)"
nrow,labels.rpart,27,"nrow(ff)"
paste,labels.rpart,80,"paste((xlevels[[cindex[i]]])[splits == 1L], collapse = cl)"
paste,labels.rpart,82,"paste((xlevels[[cindex[i]]])[splits == 3L], collapse = cl)"
paste0,labels.rpart,48,"paste0(temp1, cutpoint)"
paste0,labels.rpart,49,"paste0(temp2, cutpoint)"
paste0,labels.rpart,93,"paste0(ifelse(ncat < 2L, """", ""=""), lsplit)"
paste0,labels.rpart,94,"paste0(ifelse(ncat < 2L, """", ""=""), rsplit)"
paste0,labels.rpart,105,"paste0(varname[parent[odd]], rsplit[parent[odd]])"
paste0,labels.rpart,106,"paste0(varname[parent[!odd]], lsplit[parent[!odd]])"
pmin,labels.rpart,68,"pmin(seq_along(z), 52L)"
rep,labels.rpart,87,"rep(""<leaf>"", n)"
return,labels.rpart,28,"return(""root"")"
return,labels.rpart,90,"return(cbind(ltemp, rtemp))"
row.names,labels.rpart,100,"row.names(ff)"
seq_along,labels.rpart,59,"seq_along(ncat)"
seq_along,labels.rpart,68,"seq_along(z)"
seq_along,labels.rpart,74,"seq_along(jrow)"
warning,labels.rpart,66,"warning(""more than 52 levels in a predicting factor, truncated for printout"",
        domain = NA)"
