language_dependency,function_name,line_number,call_body
attr,model.frame.rpart,8,"attr(m, ""terms"")"
deparse,model.frame.rpart,6,"deparse(oc[[1L]])"
deparse,model.frame.rpart,14,"deparse(oc[[1L]])"
eval,model.frame.rpart,7,"eval(oc$newdata)"
eval,model.frame.rpart,9,"eval(oc$object)"
eval,model.frame.rpart,15,"eval(oc[[2L]])"
eval,model.frame.rpart,18,"eval(oc)"
is.null,model.frame.rpart,4,"is.null(m)"
is.null,model.frame.rpart,8,"is.null(attr(m, ""terms""))"
model.frame,model.frame.rpart,10,"model.frame(object$terms, m, na.rpart)"
return,model.frame.rpart,4,"return(m)"
return,model.frame.rpart,12,"return(m)"
substring,model.frame.rpart,6,"substring(deparse(oc[[1L]]), 1L, 7L)"
