language_dependency,function_name,line_number,call_body
%*%,na.rpart,7,"xmiss %*% rep(1, ncol(xmiss))"
%*%,na.rpart,12,"xmiss %*% rep(1, ncol(xmiss))"
%*%,na.rpart,13,"ymiss %*% rep(1, ncol(ymiss))"
%*%,na.rpart,14,"xmiss %*% rep(1, ncol(xmiss))"
all,na.rpart,16,"all(keep)"
attr,na.rpart,3,"attr(x, ""terms"")"
attr,na.rpart,4,"attr(Terms, ""response"")"
class<-,na.rpart,21,"class(temp) <- c(""na.rpart"", ""omit"")"
is.matrix,na.rpart,11,"is.matrix(ymiss)"
is.na,na.rpart,6,"is.na(x)"
is.na,na.rpart,9,"is.na(x[-yvar])"
is.na,na.rpart,10,"is.na(x[[yvar]])"
is.null,na.rpart,4,"is.null(Terms)"
names<-,na.rpart,19,"names(temp) <- row.names(x)[!keep]"
ncol,na.rpart,7,"ncol(xmiss)"
ncol,na.rpart,7,"ncol(xmiss)"
ncol,na.rpart,12,"ncol(xmiss)"
ncol,na.rpart,12,"ncol(xmiss)"
ncol,na.rpart,13,"ncol(ymiss)"
ncol,na.rpart,13,"ncol(ymiss)"
ncol,na.rpart,14,"ncol(xmiss)"
ncol,na.rpart,14,"ncol(xmiss)"
rep,na.rpart,7,"rep(1, ncol(xmiss))"
rep,na.rpart,12,"rep(1, ncol(xmiss))"
rep,na.rpart,13,"rep(1, ncol(ymiss))"
rep,na.rpart,14,"rep(1, ncol(xmiss))"
row.names,na.rpart,19,"row.names(x)"
seq,na.rpart,18,"seq(keep)"
structure,na.rpart,22,"structure(x[keep , , drop = FALSE], na.action = temp)"
