language_dependency,function_name,line_number,call_body
as.numeric,path.rpart,10,"as.numeric(n)"
cat,path.rpart,18,"cat(""\n"", ""node number:"", n[i], ""\n"")"
cat,path.rpart,19,"cat(paste(""  "", path.i), sep = ""\n"")"
cat,path.rpart,27,"cat(""\n"", ""node number:"", n[i], ""\n"")"
cat,path.rpart,29,"cat(paste(""  "", path.i), sep = ""\n"")"
identify,path.rpart,15,"identify(xy, n = 1L, plot = FALSE)"
inherits,path.rpart,5,"inherits(tree, ""rpart"")"
invisible,path.rpart,24,"invisible()"
invisible,path.rpart,33,"invisible(path)"
length,path.rpart,15,"length(i <- identify(xy, n = 1L, plot = FALSE))"
length,path.rpart,23,"length(nodes <- node.match(nodes, node))"
list,path.rpart,12,"list()"
missing,path.rpart,13,"missing(nodes)"
paste,path.rpart,19,"paste(""  "", path.i)"
paste,path.rpart,29,"paste(""  "", path.i)"
return,path.rpart,24,"return(invisible())"
row.names,path.rpart,9,"row.names(frame)"
stop,path.rpart,6,"stop(""Not a legitimate \""rpart\"" object"")"
