language_dependency,function_name,line_number,call_body
as.numeric,plot.rpart,27,"as.numeric(row.names(x$frame))"
assign,plot.rpart,23,"assign(paste0(""device"", dev.cur()), parms, envir = rpart_env)"
c,plot.rpart,19,"c(-margin, margin)"
c,plot.rpart,20,"c(-margin, margin)"
c,plot.rpart,31,"c(temp$x)"
c,plot.rpart,31,"c(temp$y)"
dev.cur,plot.rpart,23,"dev.cur()"
diff,plot.rpart,19,"diff(range(xx))"
diff,plot.rpart,20,"diff(range(yy))"
inherits,plot.rpart,5,"inherits(x, ""rpart"")"
invisible,plot.rpart,33,"invisible(list(x = xx, y = yy))"
lines,plot.rpart,31,"lines(c(temp$x), c(temp$y), col = branch.col, lty = branch.lty,
          lwd = branch.lwd)"
list,plot.rpart,12,"list(uniform = uniform, branch = branch, nspace = nspace,
                 minbranch = minbranch)"
list,plot.rpart,33,"list(x = xx, y = yy)"
missing,plot.rpart,8,"missing(nspace)"
nrow,plot.rpart,6,"nrow(x$frame)"
paste0,plot.rpart,23,"paste0(""device"", dev.cur())"
plot,plot.rpart,21,"plot(temp1, temp2, type = ""n"", axes = FALSE, xlab = """", ylab = """", ...)"
range,plot.rpart,19,"range(xx)"
range,plot.rpart,19,"range(xx)"
range,plot.rpart,20,"range(yy)"
range,plot.rpart,20,"range(yy)"
row.names,plot.rpart,27,"row.names(x$frame)"
stop,plot.rpart,5,"stop(""Not a legitimate \""rpart\"" object"")"
stop,plot.rpart,6,"stop(""fit is not a tree, just a root"")"
text,plot.rpart,30,"text(xx[1L], yy[1L], ""|"")"
