language_dependency,function_name,line_number,call_body
attr,post.rpart,21,"attr(tree$terms, ""variables"")"
c,post.rpart,9,"c(2,2,4,2)"
c,post.rpart,12,"c(2,2,4,2)"
deparse,post.rpart,3,"deparse(substitute(tree))"
dev.off,post.rpart,10,"dev.off()"
getOption,post.rpart,4,"getOption(""digits"")"
invisible,post.rpart,13,"invisible(par(oldpar))"
missing,post.rpart,20,"missing(title.)"
nzchar,post.rpart,23,"nzchar(title.)"
on.exit,post.rpart,10,"on.exit(dev.off())"
on.exit,post.rpart,13,"on.exit(invisible(par(oldpar)))"
par,post.rpart,9,"par(mar = c(2,2,4,2) + 0.1)"
par,post.rpart,12,"par(mar = c(2,2,4,2) + 0.1)"
par,post.rpart,13,"par(oldpar)"
paste,post.rpart,3,"paste(deparse(substitute(tree)), "".ps"", sep = """")"
paste,post.rpart,22,"paste(""Endpoint ="", temp)"
plot,post.rpart,16,"plot(tree, uniform = TRUE, branch = 0.2, compress = TRUE, margin = 0.1)"
postscript,post.rpart,8,"postscript(file = filename, horizontal = horizontal, ...)"
substitute,post.rpart,3,"substitute(tree)"
text,post.rpart,17,"text(tree, all = TRUE, use.n = use.n, fancy = TRUE, digits = digits,
         pretty = pretty)"
title,post.rpart,22,"title(paste(""Endpoint ="", temp), cex = 0.8)"
title,post.rpart,23,"title(title., cex = 0.8)"
