language_dependency,function_name,line_number,call_body
.checkMFClasses,predict.rpart,16,".checkMFClasses(cl, newdata, TRUE)"
attr,predict.rpart,11,"attr(newdata, ""terms"")"
attr,predict.rpart,14,"attr(object, ""xlevels"")"
attr,predict.rpart,15,"attr(Terms, ""dataClasses"")"
attr,predict.rpart,21,"attr(object, ""ylevels"")"
delete.response,predict.rpart,12,"delete.response(object$terms)"
dimnames,predict.rpart,29,"dimnames(pred) <- list(names(where), NULL)"
dimnames,predict.rpart,37,"dimnames(pred) <- list(names(where), ylevels)"
factor,predict.rpart,33,"factor(ylevels[frame$yval[where]], levels = ylevels)"
inherits,predict.rpart,5,"inherits(object, ""rpart"")"
is.null,predict.rpart,11,"is.null(attr(newdata, ""terms""))"
is.null,predict.rpart,15,"is.null(cl <- attr(Terms, ""dataClasses""))"
is.null,predict.rpart,24,"is.null(frame$yval2)"
is.null,predict.rpart,42,"is.null(object$na.action)"
length,predict.rpart,22,"length(ylevels)"
length,predict.rpart,31,"length(ylevels)"
list,predict.rpart,29,"list(names(where), NULL)"
list,predict.rpart,37,"list(names(where), ylevels)"
match.arg,predict.rpart,8,"match.arg(type)"
missing,predict.rpart,7,"missing(type)"
missing,predict.rpart,9,"missing(newdata)"
missing,predict.rpart,42,"missing(newdata)"
model.frame,predict.rpart,13,"model.frame(Terms, newdata, na.action = na.action,
                                   xlev = attr(object, ""xlevels""))"
names,predict.rpart,26,"names(pred) <- names(where)"
names,predict.rpart,26,"names(where)"
names,predict.rpart,29,"names(where)"
names,predict.rpart,34,"names(pred) <- names(where)"
names,predict.rpart,34,"names(where)"
names,predict.rpart,37,"names(where)"
naresid,predict.rpart,43,"naresid(object$na.action, pred)"
stop,predict.rpart,5,"stop(""Not a legitimate \""rpart\"" object"")"
stop,predict.rpart,32,"stop(""type 'class' is only appropriate for classification"")"
stop,predict.rpart,38,"stop(""Invalid prediction for \""rpart\"" object"")"
