language_dependency,function_name,line_number,call_body
as.numeric,print.rpart,9,"as.numeric(row.names(frame))"
attr,print.rpart,8,"attr(x, ""ylevels"")"
cat,print.rpart,30,"cat(""n="", n[1L], "" ("", naprint(omit), "")\n\n"", sep = """")"
cat,print.rpart,31,"cat(""n="", n[1L], ""\n\n"")"
cat,print.rpart,34,"cat(""node), split, n, loss, yval, (yprob)\n"")"
cat,print.rpart,35,"cat(""node), split, n, deviance, yval\n"")"
cat,print.rpart,36,"cat(""      * denotes terminal node\n\n"")"
cat,print.rpart,38,"cat(z, sep = ""\n"")"
format,print.rpart,15,"format(node)"
format,print.rpart,16,"format(node)"
format,print.rpart,22,"format(signif(frame$yval, digits))"
format,print.rpart,27,"format(signif(frame$dev, digits))"
inherits,print.rpart,4,"inherits(x, ""rpart"")"
invisible,print.rpart,39,"invisible(x)"
is.null,print.rpart,19,"is.null(tfun)"
is.null,print.rpart,20,"is.null(frame$yval2)"
length,print.rpart,13,"length(node)"
length,print.rpart,23,"length(depth)"
length,print.rpart,30,"length(omit)"
missing,print.rpart,6,"missing(cp)"
naprint,print.rpart,30,"naprint(omit)"
paste,print.rpart,11,"paste(rep("" "", spaces * 32L), collapse = """")"
paste,print.rpart,27,"paste(indent, z, n, format(signif(frame$dev, digits)), yval, term)"
paste0,print.rpart,15,"paste0(c("""", indent[depth]), format(node), "")"")"
paste0,print.rpart,16,"paste0(format(node), "")"")"
rep,print.rpart,11,"rep("" "", spaces * 32L)"
rep,print.rpart,23,"rep("" "", length(depth))"
row.names,print.rpart,9,"row.names(frame)"
seq,print.rpart,14,"seq(depth)"
signif,print.rpart,22,"signif(frame$yval, digits)"
signif,print.rpart,27,"signif(frame$dev, digits)"
stop,print.rpart,4,"stop(""Not a legitimate \""rpart\"" object"")"
substring,print.rpart,14,"substring(indent, 1L, spaces * seq(depth))"
