language_dependency,function_name,line_number,call_body
>=,ss.compare,8,"a >= b"
array,roc.rpart,38,"array(0, c(cutoff.n, 2L, 2L))"
attr,roc.rpart,5,"attr(object, ""ylevels"")"
c,roc.rpart,12,"c(0, 1, object$frame$yprob[endnodes, 2L])"
c,roc.rpart,19,"c(NA, cutoffs)"
c,roc.rpart,25,"c(cutoffs, NA)"
c,roc.rpart,38,"c(cutoff.n, 2L, 2L)"
data.frame,roc.rpart,71,"data.frame(cutoffs = format(round(cutoffs, 3L)), tpcp, tncp, tpcn, tncn,
               sensitivity = format(round(sensitivity, 2L)),
               specificity = format(round(specificity, 2L)),
               pospred = format(round(pospred, 2L)),
               negpred = format(round(negpred, 2L)))"
dim,roc.rpart,15,"dim(pred.np)[1L]"
dim,roc.rpart,16,"dim(pred.np)[2L]"
dim,roc.rpart,21,"dim(pred.np)[1L]"
dim,roc.rpart,22,"dim(pred.np)[2L]"
format,roc.rpart,71,"format(round(cutoffs, 3L))"
format,roc.rpart,72,"format(round(sensitivity, 2L))"
format,roc.rpart,73,"format(round(specificity, 2L))"
format,roc.rpart,74,"format(round(pospred, 2L))"
format,roc.rpart,75,"format(round(negpred, 2L))"
inherits,roc.rpart,4,"inherits(object, ""rpart"")"
length,roc.rpart,5,"length(attr(object, ""ylevels""))"
length,roc.rpart,28,"length(cutoffs)"
matrix,roc.rpart,18,"matrix(FALSE, nrow = 1L, ncol = last.c)"
matrix,roc.rpart,24,"matrix(TRUE, nrow = 1L, ncol = last.c)"
matrix,roc.rpart,30,"matrix(0, nrow = cutoff.n, ncol = 1L)"
matrix,roc.rpart,31,"matrix(0, nrow = cutoff.n, ncol = 1L)"
matrix,roc.rpart,32,"matrix(0, nrow = cutoff.n, ncol = 1L)"
matrix,roc.rpart,33,"matrix(0, nrow = cutoff.n, ncol = 1L)"
matrix,roc.rpart,34,"matrix(0, nrow = cutoff.n, ncol = 1L)"
matrix,roc.rpart,35,"matrix(0, nrow = cutoff.n, ncol = 1L)"
matrix,roc.rpart,36,"matrix(0, nrow = cutoff.n, ncol = 1L)"
matrix,roc.rpart,37,"matrix(0, nrow = cutoff.n, ncol = 1L)"
matrix,roc.rpart,41,"matrix(0, nrow = 2L, ncol = 2L)"
on.exit,roc.rpart,60,"on.exit(par(o.par))"
outer,roc.rpart,13,"outer(cutoffs, object$frame$yprob[endnodes, 2L], ss.compare)"
par,roc.rpart,59,"par(pty = ""s"")"
par,roc.rpart,60,"par(o.par)"
plot,roc.rpart,62,"plot(1-specificity, sensitivity, type = ""o"", xlim = c(0, 1),
                 ylim = c(0, 1), ylab = ""Sensitivity"", xlab = ""1-Specificity"")"
plot,roc.rpart,66,"plot(specificity, sensitivity, type = ""o"", xlim = c(0, 1),
                 ylim = c(0, 1), ylab = ""Sensitivity"", xlab = ""Specificity"")"
rbind,roc.rpart,18,"rbind(matrix(FALSE, nrow = 1L, ncol = last.c), pred.np)"
rbind,roc.rpart,24,"rbind(pred.np, matrix(TRUE, nrow = 1L, ncol = last.c))"
round,roc.rpart,71,"round(cutoffs, 3L)"
round,roc.rpart,72,"round(sensitivity, 2L)"
round,roc.rpart,73,"round(specificity, 2L)"
round,roc.rpart,74,"round(pospred, 2L)"
round,roc.rpart,75,"round(negpred, 2L)"
sort,roc.rpart,12,"sort(unique(c(0, 1, object$frame$yprob[endnodes, 2L])))"
stop,roc.rpart,6,"stop('Not legitimate ""rpart"" tree and endpoint not a 2 level-factor')"
sum,roc.rpart,17,"sum(pred.np[1L, ])"
sum,roc.rpart,23,"sum(pred.np[last.r, ])"
sum,roc.rpart,43,"sum(truth[pred.np[i, ], 1L])"
sum,roc.rpart,44,"sum(truth[!pred.np[i, ], 1L])"
sum,roc.rpart,45,"sum(truth[pred.np[i, ], 2L])"
sum,roc.rpart,46,"sum(truth[!pred.np[i, ], 2L])"
unique,roc.rpart,12,"unique(c(0, 1, object$frame$yprob[endnodes, 2L]))"
