language_dependency,function_name,line_number,call_body
any,rpart.class,19,"any(temp == 0L)"
any,rpart.class,28,"any(temp < 0)"
any,rpart.class,38,"any(diag(temp2) != 0)"
any,rpart.class,40,"any(temp2 < 0)"
any,rpart.class,42,"any(rowSums(temp2) == 0)"
apply,rpart.class,85,"apply(matrix(temp1, ncol = nclass), 1L,
                                paste, collapse = "" "")"
apply,rpart.class,87,"apply(matrix(temp2, ncol = nclass), 1L,
                                paste, collapse = "" "")"
apply,rpart.class,105,"apply(matrix(temp1, ncol = nclass), 1L,
                                paste, collapse = ""/"")"
as.character,rpart.class,58,"as.character(yval[, 1L])"
as.factor,rpart.class,5,"as.factor(y)"
as.integer,rpart.class,6,"as.integer(fy)"
diag,rpart.class,13,"diag(numclass)"
diag,rpart.class,32,"diag(numclass)"
diag,rpart.class,38,"diag(temp2)"
factor,rpart.class,8,"factor(y, levels = 1:numclass)"
format,rpart.class,63,"format(yval[, 1L + nclass + 1L:nclass],
                        digits = digits, nsmall = nsmall)"
format,rpart.class,91,"format(group, justify = ""left"")"
format,rpart.class,107,"format(group, justify = ""left"")"
format,rpart.class,108,"format(group, justify = ""left"")"
gettextf,rpart.class,20,"gettextf(""'parms' component not matched: %s"",
                          names(parms)[temp == 0L])"
ifelse,rpart.class,9,"ifelse(is.na(counts), 0, counts)"
is.list,rpart.class,16,"is.list(parms)"
is.matrix,rpart.class,66,"is.matrix(yprob)"
is.na,rpart.class,7,"is.na(y)"
is.na,rpart.class,9,"is.na(counts)"
is.null,rpart.class,3,"is.null(offset)"
is.null,rpart.class,11,"is.null(parms)"
is.null,rpart.class,17,"is.null(names(parms))"
is.null,rpart.class,24,"is.null(parms$prior)"
is.null,rpart.class,32,"is.null(parms$loss)"
is.null,rpart.class,46,"is.null(parms$split)"
is.null,rpart.class,49,"is.null(temp3)"
is.null,rpart.class,58,"is.null(ylevel)"
is.null,rpart.class,80,"is.null(ylevel)"
is.null,rpart.class,101,"is.null(ylevel)"
length,rpart.class,29,"length(temp)"
length,rpart.class,35,"length(temp2)"
levels,rpart.class,56,"levels(fy)"
list,rpart.class,12,"list(prior = counts/sum(counts),
		      loss = matrix(rep(1, numclass^2) - diag(numclass),
                                   numclass),
		      split = 1)"
list,rpart.class,51,"list(prior = temp, loss = matrix(temp2, numclass), split = temp3)"
list,rpart.class,55,"list(y = y, parms = parms, numresp = numclass + 2L, counts = counts,
	 ylevels = levels(fy), numy = 1L,
	 print = function(yval, ylevel, digits, nsmall) { ... },
	 summary = function(yval, dev, wt, ylevel, digits) { ... },
	 text = function(yval, dev, wt, ylevel, digits, n, use.n) { ... })"
max,rpart.class,7,"max(y[!is.na(y)])"
matrix,rpart.class,13,"matrix(rep(1, numclass^2) - diag(numclass),
                                   numclass)"
matrix,rpart.class,37,"matrix(temp2, ncol = numclass)"
matrix,rpart.class,51,"matrix(temp2, numclass)"
matrix,rpart.class,67,"matrix(yprob, nrow = 1L)"
matrix,rpart.class,85,"matrix(temp1, ncol = nclass)"
matrix,rpart.class,87,"matrix(temp2, ncol = nclass)"
matrix,rpart.class,105,"matrix(temp1, ncol = nclass)"
missing,rpart.class,11,"missing(parms)"
names,rpart.class,17,"names(parms)"
names,rpart.class,18,"names(parms)"
names,rpart.class,21,"names(parms)"
names,rpart.class,22,"names(parms)"
ncol,rpart.class,61,"ncol(yval)"
ncol,rpart.class,70,"ncol(yprob)"
ncol,rpart.class,75,"ncol(yval)"
ncol,rpart.class,98,"ncol(yval)"
paste,rpart.class,70,"paste(temp, yprob[, i], sep = "" "")"
paste,rpart.class,86,"paste"
paste,rpart.class,88,"paste"
paste,rpart.class,106,"paste"
paste0,rpart.class,69,"paste0(temp, "" ("", yprob[, 1L])"
paste0,rpart.class,71,"paste0(temp, "")"")"
paste0,rpart.class,91,"paste0(""  predicted class="", format(group, justify = ""left""),
                    ""  expected loss="", formatg(dev, digits),
                    ""  P(node) ="", formatg(nodeprob, digits), ""\n"",
                    ""    class counts: "", temp1, ""\n"",
                    ""   probabilities: "", temp2)"
paste0,rpart.class,107,"paste0(format(group, justify = ""left""), ""\n"", temp1)"
pmatch,rpart.class,18,"pmatch(names(parms), c(""prior"", ""loss"", ""split""), 0L)"
pmatch,rpart.class,48,"pmatch(parms$split, c(""gini"", ""information""))"
rep,rpart.class,13,"rep(1, numclass^2)"
rowSums,rpart.class,42,"rowSums(temp2)"
stop,rpart.class,3,"stop(""No offset allowed in classification models"")"
stop,rpart.class,17,"stop(""The parms list must have names"")"
stop,rpart.class,20,"stop(gettextf(""'parms' component not matched: %s"",
                          names(parms)[temp == 0L]), domain = NA)"
stop,rpart.class,27,"stop(""Priors must sum to 1"")"
stop,rpart.class,28,"stop(""Priors must be >= 0"")"
stop,rpart.class,29,"stop(""Wrong length for priors"")"
stop,rpart.class,36,"stop(""Wrong length for loss matrix"")"
stop,rpart.class,39,"stop(""Loss matrix must have zero on diagonals"")"
stop,rpart.class,41,"stop(""Loss matrix cannot have negative elements"")"
stop,rpart.class,43,"stop(""Loss matrix has a row of zeros"")"
stop,rpart.class,49,"stop(""Invalid splitting rule"")"
stop,rpart.class,53,"stop(""Parameter argument must be a list"")"
sum,rpart.class,8,"sum"
sum,rpart.class,12,"sum(counts)"
sum,rpart.class,24,"sum(counts)"
sum,rpart.class,27,"sum(temp)"
tapply,rpart.class,8,"tapply(wt, factor(y, levels = 1:numclass), sum)"
