language_dependency,function_name,line_number,call_body
any,rpart.control,11,"any(xval < 0L)"
list,rpart.control,30,"list(minsplit = minsplit, minbucket = minbucket, cp = cp,
         maxcompete = maxcompete, maxsurrogate = maxsurrogate,
         usesurrogate = usesurrogate,
         surrogatestyle = surrogatestyle, maxdepth = maxdepth, xval = xval)"
missing,rpart.control,17,"missing(minsplit)"
missing,rpart.control,17,"missing(minbucket)"
round,rpart.control,2,"round(minsplit/3)"
stop,rpart.control,15,"stop(""Maximum depth is 30"")"
stop,rpart.control,16,"stop(""Maximum depth must be at least 1"")"
warning,rpart.control,8,"warning(""The value of 'maxcompete' supplied is < 0; the value 0 was used instead"")"
warning,rpart.control,12,"warning(""The value of 'xval' supplied is < 0; the value 0 was used instead"")"
warning,rpart.control,19,"warning(""The value of 'usesurrogate' supplied was out of range, the default value of 2 is used instead."")"
warning,rpart.control,23,"warning(""The value of 'surrogatestyle' supplied was out of range, the default value of 0 is used instead."")"
