language_dependency,function_name,line_number,call_body
.getXlevels,rpart,82,".getXlevels(Terms, m)"
any,rpart,23,"any(attr(Terms, ""order"") > 1L)"
any,rpart,28,"any(wt < 0)"
any,rpart,98,"any(indx == 0L)"
any,rpart,143,"any(cost <= 0)"
as.double,rpart,158,"as.double(unlist(init$parms))"
as.double,rpart,163,"as.double(unlist(controls))"
as.double,rpart,167,"as.double(t(init$y))"
as.double,rpart,171,"as.double(cost)"
as.integer,rpart,127,"as.integer(attr(m, ""na.action""))"
as.integer,rpart,161,"as.integer(cats * !isord)"
as.integer,rpart,162,"as.integer(method.int)"
as.integer,rpart,165,"as.integer(xval)"
as.integer,rpart,166,"as.integer(xgroups)"
as.integer,rpart,170,"as.integer(init$numy)"
as.integer,rpart,203,"as.integer(cdir[i])"
as.integer,rpart,204,"as.integer(cdir[i])"
asNamespace,rpart,74,"asNamespace(""rpart"")"
attr,rpart,22,"attr(m, ""terms"")"
attr,rpart,23,"attr(Terms, ""order"")"
attr,rpart,125,"attr(m, ""na.action"")"
attr,rpart,127,"attr(m, ""na.action"")"
attr,rpart,153,"attr(Terms, ""term.labels"")"
attr,rpart,293,"attr(m, ""na.action"")"
attr,rpart,294,"attr(ans, ""xlevels"") <- xlevels"
attr,rpart,295,"attr(ans, ""ylevels"") <- init$ylevels"
c,rpart,13,"c(""formula"", ""data"", ""weights"", ""subset"")"
c,rpart,16,"c(1L, indx)"
c,rpart,58,"c(""anova"", ""poisson"", ""class"", ""exp"")"
c,rpart,60,"c(""anova"", ""poisson"", ""class"", ""exp"")[method.int]"
c,rpart,180,"c(""CP"", ""nsplit"", ""rel error"")"
c,rpart,181,"c(""CP"", ""nsplit"", ""rel error"", ""xerror"", ""xstd"")"
c,rpart,184,"c(""<leaf>"", colnames(X))"
c,rpart,185,"c(rpfit$isplit[, 2:3], rpfit$dsplit)"
c,rpart,187,"c(""count"", ""ncat"", ""improve"", ""index"", ""adj"")"
c,rpart,265,"c(functions, list(text = init$text))"
c,rpart,266,"c(functions, mlist)"
cbind,rpart,213,"cbind(cs, matrix(0L, nrow(cs), ncc - ncs))"
cbind,rpart,257,"cbind(yval2, yprob, nodeprob)"
class,rpart,296,"class(ans) <- ""rpart"""
colnames,rpart,87,"colnames(X)"
colnames,rpart,184,"colnames(X)"
data.frame,rpart,221,"data.frame(row.names = 1L,
			    var = ""<leaf>"",
			    n = rpfit$inode[, 5L],
			    wt = rpfit$dnode[, 3L],
			    dev = rpfit$dnode[, 1L],
			    yval = rpfit$dnode[, 4L],
			    complexity = rpfit$dnode[, 2L],
			    ncompete = 0L,
			    nsurrogate = 0L)"
data.frame,rpart,233,"data.frame(row.names = rpfit$inode[, 1L],
			    var = tname[svar + 1L],
			    n = rpfit$inode[, 5L],
			    wt = rpfit$dnode[, 3L],
			    dev = rpfit$dnode[, 1L],
			    yval = rpfit$dnode[, 4L],
			    complexity = rpfit$dnode[, 2L],
			    ncompete = pmax(0L, rpfit$inode[, 3L] - 1L),
			    nsurrogate = rpfit$inode[, 4L])"
diag,rpart,254,"diag(init$parms$prior/temp)"
dimnames,rpart,182,"dimnames(rpfit$cptable) <- list(temp, 1L:numcp)"
do.call,rpart,110,"do.call(rpart.control, control)"
environment,rpart,69,"environment()"
environment,rpart,72,"environment()"
environment,rpart,75,"environment(init$print)"
environment,rpart,76,"environment(init$summary)"
environment,rpart,77,"environment(init$text)"
eval.parent,rpart,19,"eval.parent(temp)"
floor,rpart,197,"floor(splits[indx, 4L])"
formals,rpart,96,"formals(rpart.control)"
get,rpart,68,"get(paste(""rpart"", method, sep = "".""),
            envir = environment())(Y, offset, , wt)"
get,rpart,71,"get(paste(""rpart"", method, sep = "".""),
            envir = environment())(Y, offset, parms, wt)"
gettextf,rpart,99,"gettextf(""Argument %s not matched"",
                          names(extraArgs)[indx == 0L])"
ifelse,rpart,231,"ifelse(index == 0L, 1L, index)"
ifelse,rpart,232,"ifelse(index == 0L, 0L, rpfit$isplit[temp, 1L])"
inherits,rpart,37,"inherits(Y, ""Surv"")"
is.character,rpart,36,"is.character(Y)"
is.data.frame,rpart,9,"is.data.frame(model)"
is.factor,rpart,36,"is.factor(Y)"
is.list,rpart,42,"is.list(method)"
is.matrix,rpart,38,"is.matrix(Y)"
is.matrix,tfun,152,"is.matrix(x)"
is.na,rpart,59,"is.na(method.int)"
is.null,rpart,84,"is.null(xlevels)"
is.null,rpart,114,"is.null(xval)"
is.null,rpart,125,"is.null(attr(m, ""na.action""))"
is.null,rpart,175,"is.null(rpfit$csplit)"
is.null,rpart,261,"is.null(init$summary)"
is.null,rpart,263,"is.null(init$print)"
is.null,rpart,265,"is.null(init$text)"
is.null,rpart,293,"is.null(attr(m, ""na.action""))"
is.null,rpart,294,"is.null(xlevels)"
is.ordered,tfun,152,"is.ordered(x)"
lapply,rpart,88,"lapply(xlevels, length)"
lapply,rpart,154,"lapply(m[labs], tfun)"
length,rpart,29,"length(wt)"
length,rpart,95,"length(extraArgs)"
length,rpart,114,"length(xval)"
length,rpart,117,"length(xval)"
length,rpart,120,"length(xval)"
length,rpart,129,"length(xval)"
length,rpart,141,"length(cost)"
length,rpart,159,"length(temp)"
list,rpart,94,"list(...)"
list,rpart,182,"list(temp, 1L:numcp)"
list,rpart,186,"list(tname[rpfit$isplit[, 1L] + 1L], c(""count"", ""ncat"", ""improve"", ""index"", ""adj""))"
list,rpart,263,"list(summary = init$summary)"
list,rpart,264,"list(summary = init$summary, print = init$print)"
list,rpart,265,"list(text = init$text)"
list,rpart,271,"list(frame = frame,
             where = where,
             call = Call, terms = Terms,
             cptable = t(rpfit$cptable),
             method = method,
             parms = init$parms,
             control = controls,
             functions = functions,
             numresp = init$numresp)"
match,rpart,13,"match(c(""formula"", ""data"", ""weights"", ""subset""),
                      names(Call), nomatch = 0L)"
match,rpart,87,"match(names(xlevels), colnames(X), nomatch=0)"
match,rpart,97,"match(names(extraArgs), controlargs, nomatch = 0L)"
match.call,rpart,8,"match.call()"
matrix,rpart,185,"matrix(c(rpfit$isplit[, 2:3], rpfit$dsplit), ncol = 5L,
                     dimnames = list(tname[rpfit$isplit[, 1L] + 1L],
                     c(""count"", ""ncat"", ""improve"", ""index"", ""adj"")))"
matrix,rpart,193,"matrix(0L, nadd, max(cats))"
matrix,rpart,213,"matrix(0L, nrow(cs), ncc - ncs)"
matrix,rpart,256,"matrix(rpfit$dnode[, 4L + (0L:numclass)], ncol = numclass + 1L)"
missing,rpart,35,"missing(method)"
missing,rpart,49,"missing(parms)"
missing,rpart,67,"missing(parms)"
missing,rpart,107,"missing(control)"
missing,rpart,139,"missing(cost)"
missing,rpart,285,"missing(y)"
model.offset,rpart,30,"model.offset(m)"
model.response,rpart,26,"model.response(m)"
model.weights,rpart,27,"model.weights(m)"
names,rpart,14,"names(Call)"
names,rpart,87,"names(xlevels)"
names,rpart,96,"names(formals(rpart.control))"
names,rpart,97,"names(extraArgs)"
names,rpart,100,"names(extraArgs)"
names,rpart,108,"names(control)"
names,rpart,108,"names(controls)"
names,rpart,269,"names(where) <- row.names(m)"
ncol,rpart,33,"ncol(X)"
ncol,rpart,83,"ncol(X)"
ncol,rpart,179,"ncol(rpfit$cptable)"
ncol,rpart,212,"ncol(cs)"
ncol,rpart,212,"ncol(newc)"
ncol,tfun,152,"ncol(x)"
nrow,rpart,29,"nrow(m)"
nrow,rpart,32,"nrow(X)"
nrow,rpart,173,"nrow(rpfit$isplit)"
nrow,rpart,175,"nrow(rpfit$csplit)"
nrow,rpart,180,"nrow(rpfit$cptable)"
nrow,rpart,213,"nrow(cs)"
paste,rpart,68,"paste(""rpart"", method, sep = ""."")"
paste,rpart,71,"paste(""rpart"", method, sep = ""."")"
pmatch,rpart,58,"pmatch(method, c(""anova"", ""poisson"", ""class"", ""exp""))"
pmax,rpart,241,"pmax(0L, rpfit$inode[, 3L] - 1L)"
pmax,rpart,253,"pmax(1L, init$counts)"
quote,rpart,18,"quote(stats::model.frame)"
rbind,rpart,214,"rbind(cs, newc)"
rep,rpart,29,"rep(1, nrow(m))"
rep,rpart,83,"rep(0L, ncol(X))"
rep,rpart,119,"rep(1L:xval, length.out = nobs)"
rep,rpart,139,"rep(1, nvar)"
rep,tfun,152,"rep(is.ordered(x), ncol(x))"
row.names,rpart,269,"row.names(m)"
rowSums,rpart,255,"rowSums(temp)"
sample,rpart,119,"sample(rep(1L:xval, length.out = nobs), nobs, replace = FALSE)"
stats::model.frame,rpart,18,"quote(stats::model.frame)"
stop,rpart,15,"stop(""a 'formula' argument is required"")"
stop,rpart,24,"stop(""Trees cannot handle interaction terms"")"
stop,rpart,28,"stop(""negative weights not allowed"")"
stop,rpart,59,"stop(""Invalid method"")"
stop,rpart,99,"stop(gettextf(""Argument %s not matched"",
                          names(extraArgs)[indx == 0L]),
                 domain = NA)"
stop,rpart,109,"stop(""unkown named elements in 'control'"")"
stop,rpart,132,"stop(""Wrong length for 'xval'"")"
stop,rpart,133,"stop(""Wrong length for 'xval'"")"
stop,rpart,142,"stop(""Cost vector is the wrong length"")"
stop,rpart,143,"stop(""Cost vector must be positive"")"
stop,rpart,262,"stop(""Initialization routine is missing the 'summary' function"")"
storage.mode,rpart,156,"storage.mode(X) <- ""double"""
storage.mode,rpart,157,"storage.mode(wt) <- ""double"""
sum,rpart,191,"sum(isord[rpfit$isplit[, 1L]])"
sum,rpart,252,"sum(wt)"
t,rpart,167,"t(init$y)"
t,rpart,274,"t(rpfit$cptable)"
unique,rpart,122,"unique(xgroups)"
unique,rpart,131,"unique(xgroups)"
unlist,rpart,88,"unlist(lapply(xlevels, length))"
unlist,rpart,154,"unlist(lapply(m[labs], tfun))"
unlist,rpart,158,"unlist(init$parms)"
unlist,rpart,163,"unlist(controls)"
