language_dependency,function_name,line_number,call_body
all,rpart.exp,22,"all(status == 0)"
any,rpart.exp,21,"any(y[, 1L] <= 0)"
any,rpart.exp,115,"any(indx == 0L)"
approx,rpart.exp,104,"approx(itable, cumhaz, time)$y"
approx,rpart.exp,105,"approx(itable, cumhaz, y[, 1L])$y"
as.double,rpart.exp,33,"as.double(dtimes)"
as.double,rpart.exp,33,"as.double(.Machine$double.eps)"
as.list,rpart.exp,111,"as.list(parms)"
c,rpart.exp,42,"c(0, dtimes[-length(dtimes)], max(time))"
c,rpart.exp,103,"c(0, rate * diff(itable))"
c,rpart.exp,109,"c(shrink = 1L, method = 1L)"
c,rpart.exp,113,"c(""method"", ""shrink"")"
c,rpart.exp,121,"c(""deviance"", ""sqrt"")"
c,rpart.exp,128,"c(shrink = shrink, method = method)"
cbind,rpart.exp,130,"cbind(newy, y[, 2L])"
cumsum,rpart.exp,103,"cumsum(c(0, rate * diff(itable)))"
diff,rpart.exp,103,"diff(itable)"
exp,rpart.exp,107,"exp(offset)"
gettextf,rpart.exp,116,"gettextf(""'parms' component not matched: %s"", names(parms)[indx == 0L])"
inherits,rpart.exp,14,"inherits(y, ""Surv"")"
is.na,rpart.exp,122,"is.na(method)"
is.null,rpart.exp,112,"is.null(names(parms))"
is.null,rpart.exp,120,"is.null(parms$method)"
is.null,rpart.exp,124,"is.null(parms$shrink)"
is.numeric,rpart.exp,126,"is.numeric(shrink)"
length,rpart.exp,39,"length(dtimes)"
length,rpart.exp,42,"length(dtimes)"
length,rpart.exp,107,"length(offset)"
list,rpart.exp,130,"list(y = cbind(newy, y[, 2L]), parms = parms, numresp = 2L, numy = 2L,
	 summary = function(yval, dev, wt, ylevel, digits) {
	     paste0(""  events="", formatg(yval[, 2L]),
                   "",  estimated rate="" , formatg(yval[, 1L], digits),
                   "" , mean deviance="", formatg(dev/wt, digits))
         },
	 text = function(yval, dev, wt, ylevel, digits, n, use.n) {
	     if (use.n) paste0(formatg(yval[, 1L], digits), ""\n"",
                              formatg(yval[, 2L]) , ""/"", n)
             else paste(formatg(yval[, 1L], digits))
         })"
max,rpart.exp,42,"max(time)"
missing,rpart.exp,109,"missing(parms)"
names,rpart.exp,112,"names(parms)"
names,rpart.exp,114,"names(parms)"
names,rpart.exp,117,"names(parms)[indx == 0L]"
names,rpart.exp,118,"names(parms) <- parmsNames[indx]"
ncol,rpart.exp,17,"ncol(y)"
nrow,rpart.exp,18,"nrow(y)"
paste,rpart.exp,139,"paste(formatg(yval[, 1L], digits))"
paste0,rpart.exp,132,"paste0(""  events="", formatg(yval[, 2L]),
                   "",  estimated rate="" , formatg(yval[, 1L], digits),
                   "" , mean deviance="", formatg(dev/wt, digits))"
paste0,rpart.exp,137,"paste0(formatg(yval[, 1L], digits), ""\n"",
                              formatg(yval[, 2L]) , ""/"", n)"
pmatch,rpart.exp,114,"pmatch(names(parms), parmsNames, 0L)"
pmatch,rpart.exp,121,"pmatch(parms$method, c(""deviance"", ""sqrt""))"
quantile,rpart.exp,39,"quantile(dtimes, 0:1000/1000)"
sort,rpart.exp,32,"sort(unique(time[status == 1]))"
stop,rpart.exp,15,"stop(""Response must be a 'survival' object - use the 'Surv()' function"")"
stop,rpart.exp,21,"stop(""Observation time must be > 0"")"
stop,rpart.exp,22,"stop(""No deaths in data set"")"
stop,rpart.exp,112,"stop(""You must input a named list for parms"")"
stop,rpart.exp,116,"stop(gettextf(""'parms' component not matched: %s"", names(parms)[indx == 0L]), domain = NA)"
stop,rpart.exp,122,"stop(""Invalid error method for Poisson"")"
stop,rpart.exp,127,"stop(""Invalid shrinkage value"")"
unique,rpart.exp,32,"unique(time[status == 1])"
c,drate2,83,"c(temp[-1L], 0)"
c,drate2,88,"c(0, temp[-ngrp])"
cumsum,drate2,82,"cumsum(rev(tab1))"
cumsum,drate2,87,"cumsum(rev(tab2))"
cut,drate2,64,"cut(time, itable, include.lowest = TRUE)"
cut,drate2,71,"cut(stime, itable, include.lowest = TRUE)"
diff,drate2,55,"diff(itable)"
length,drate2,56,"length(ilength)"
rev,drate2,82,"rev(cumsum(rev(tab1)))"
rev,drate2,82,"rev(tab1)"
rev,drate2,87,"rev(cumsum(rev(tab2)))"
rev,drate2,87,"rev(tab2)"
sum,drate2,83,"sum"
sum,drate2,88,"sum"
sum,drate2,92,"sum"
table,drate2,81,"table(index)"
table,drate2,86,"table(index2, levels = 1:ngrp)"
tapply,drate2,83,"tapply(itime, index, sum)"
tapply,drate2,88,"tapply(itime2, index2, sum)"
tapply,drate2,92,"tapply(status, index, sum)"
unclass,drate2,64,"unclass(cut(time, itable, include.lowest = TRUE))"
unclass,drate2,71,"unclass(cut(stime, itable, include.lowest = TRUE))"
