language_dependency,function_name,line_number,call_body
as.numeric,rpartco,12,"as.numeric(row.names(frame))"
c,compress,133,"c(x[me] - nspace * (x[me] - x[lson]), templ)"
c,compress,134,"c(x[me] - nspace * (x[me] - x[rson]), tempr)"
c,compress,135,"c(me, left$sons, right$sons)"
dev.cur,rpartco,5,"dev.cur()"
diff,rpartco,43,"diff(range(y))"
double,rpartco,54,"double(length(node))"
exists,rpartco,6,"exists(pn, envir = rpart_env, inherits = FALSE)"
get,rpartco,8,"get(pn, envir = rpart_env, inherits = FALSE)"
ifelse,rpartco,31,"ifelse(node %% 2L, node - 1L, node + 1L)"
ifelse,rpartco,47,"ifelse(temp2 <= fudge & haskids, fudge, temp2)"
length,rpartco,15,"length(parms)"
length,rpartco,54,"length(node)"
list,rpartco,64,"list(x = x, y = y)"
list,rpartco,138,"list(x = x, y = y)"
list,compress,93,"list(left = x[lson], right = x[lson],
                                        depth = depth + 1L, sons = lson)"
list,compress,101,"list(left = x[rson], right = x[rson],
                                         depth = depth + 1L, sons = rson)"
list,compress,132,"list(x = x,
             left = c(x[me] - nspace * (x[me] - x[lson]), templ),
	     right = c(x[me] - nspace * (x[me] - x[rson]), tempr),
	     depth = maxd + depth, sons = c(me, left$sons, right$sons))"
match,rpartco,30,"match(node %/% 2L, node)"
match,rpartco,31,"match(ifelse(node %% 2L, node - 1L, node + 1L), node)"
match,rpartco,56,"match(node * 2L, node)"
match,rpartco,57,"match(node * 2L + 1L, node)"
max,rpartco,26,"max(depth)"
max,rpartco,26,"max(depth, 4L)"
max,rpartco,43,"max(depth)"
max,compress,108,"max(left$depth, right$depth)"
min,compress,109,"min(left$depth, right$depth)"
min,compress,114,"min(right$left[1L:mind] - left$right[1L:mind])"
missing,rpartco,4,"missing(parms)"
paste0,rpartco,5,"paste0(""device"", dev.cur())"
pmax,compress,125,"pmax(tempr[1L:mind], right$right - slide)"
pmin,compress,129,"pmin(templ[1L:mind], left$left)"
range,rpartco,43,"range(y)"
return,rpartco,64,"return(list(x = x, y = y))"
rev,rpartco,61,"rev(temp)"
row.names,rpartco,12,"row.names(frame)"
seq,rpartco,29,"seq(node)"
seq,rpartco,55,"seq(sum(is.leaf))"
seq,rpartco,60,"seq(node)"
split,rpartco,29,"split(seq(node), depth)"
split,rpartco,60,"split(seq(node)[!is.leaf], depth[!is.leaf])"
stop,rpartco,7,"stop(""no information available on parameters from previous call to plot()"")"
sum,rpartco,55,"sum(is.leaf)"
