language_dependency,function_name,line_number,call_body
any,snip.rpart,18,"any(toss.idx == 0L)"
any,snip.rpart,38,"any(id2 > 1L)"
any,snip.rpart,55,"any(temp)"
any,snip.rpart,73,"any(temp == 0L)"
as.integer,snip.rpart,14,"as.integer(row.names(ff))"
c,snip.rpart,41,"c(toss, id[xx])"
gettext,snip.rpart,20,"gettext(""Nodes %s are not in this tree"", toss[toss.idx == 0L])"
inherits,snip.rpart,6,"inherits(x, ""rpart"")"
is.matrix,snip.rpart,58,"is.matrix(x$csplit)"
is.na,snip.rpart,48,"is.na(match(id, toss))"
length,snip.rpart,8,"length(toss) == 0L"
length,snip.rpart,10,"length(toss) == 0L"
length,snip.rpart,15,"length(id)"
match,snip.rpart,17,"match(toss, id, 0L)"
match,snip.rpart,40,"match(id2, toss, 0L)"
match,snip.rpart,46,"match(toss %/% 2L , toss, 0L)"
match,snip.rpart,47,"match(toss[temp == 0L], id)"
match,snip.rpart,48,"match(id, toss)"
match,snip.rpart,53,"match(n.split, keepit, 0L)"
match,snip.rpart,72,"match(id2, id3, 0L)"
match,snip.rpart,75,"match(id2, id3, 0L)"
match,snip.rpart,77,"match(id2, id3)"
missing,snip.rpart,8,"missing(toss)"
nrow,snip.rpart,58,"nrow(x$csplit)"
rep,snip.rpart,52,"rep(1L:ff.n, ff$ncompete + ff$nsurrogate + (ff$var != ""<leaf>""))"
return,snip.rpart,10,"return(x)"
row.names,snip.rpart,14,"row.names(ff)"
sort,snip.rpart,65,"sort(c(keepit, newleaf))"
sort,snip.rpart,71,"sort(c(keepit, newleaf))"
stop,snip.rpart,6,"stop(""Not an \""rpart\"" object"")"
unique,snip.rpart,16,"unique(toss)"
warning,snip.rpart,20,"warning(gettext(""Nodes %s are not in this tree"", toss[toss.idx == 0L]),
        domain = NA)"
