language_dependency,function_name,line_number,call_body
any,snip.rpart.mouse,46,"any(id2 > 1L)"
as.integer,snip.rpart.mouse,21,"as.integer(row.names(tree$frame))"
c,snip.rpart.mouse,49,"c(id, node[temp])"
c,snip.rpart.mouse,53,"c(draw$x[, temp])"
c,snip.rpart.mouse,53,"c(draw$y[, temp])"
c,snip.rpart.mouse,54,"c(toss, node[choose])"
cat,snip.rpart.mouse,27,"cat(""Terminal node -- try again\n"")"
cat,snip.rpart.mouse,33,"cat(""node number:"", node[choose], "" n="", ff$n[choose], ""\n"")"
cat,snip.rpart.mouse,34,"cat(""    response="", format(ff$yval[choose]))"
cat,snip.rpart.mouse,35,"cat (""\n"")"
cat,snip.rpart.mouse,37,"cat("" ("", format(ff$yval2[choose, ]), "")\n"")"
cat,snip.rpart.mouse,38,"cat("" ("", format(ff$yval2[choose]), "")\n"")"
cat,snip.rpart.mouse,39,"cat(""    Error (dev) = "", format(ff$dev[choose]), ""\n"")"
dev.cur,snip.rpart.mouse,7,"dev.cur()"
exists,snip.rpart.mouse,8,"exists(pn, envir = rpart_env, inherits = FALSE)"
format,snip.rpart.mouse,34,"format(ff$yval[choose])"
format,snip.rpart.mouse,37,"format(ff$yval2[choose, ])"
format,snip.rpart.mouse,38,"format(ff$yval2[choose])"
format,snip.rpart.mouse,39,"format(ff$dev[choose])"
get,snip.rpart.mouse,10,"get(pn, envir = rpart_env, inherits = FALSE)"
identify,snip.rpart.mouse,25,"identify(xy, n = 1L, plot = FALSE)"
is.matrix,snip.rpart.mouse,36,"is.matrix(ff$yval2)"
is.null,snip.rpart.mouse,35,"is.null(ff$yval2)"
length,snip.rpart.mouse,17,"length(parms$branch)"
length,snip.rpart.mouse,25,"length(choose <- identify(xy, n = 1L, plot = FALSE))"
lines,snip.rpart.mouse,53,"lines(c(draw$x[, temp]), c(draw$y[, temp]), col = 0L)"
match,snip.rpart.mouse,48,"match(id2, id, 0L)"
match,snip.rpart.mouse,52,"match(id, node[ff$var != ""<leaf>""], 0L)"
missing,snip.rpart.mouse,6,"missing(parms)"
paste0,snip.rpart.mouse,7,"paste0(""device"", dev.cur())"
row.names,snip.rpart.mouse,21,"row.names(tree$frame)"
stop,snip.rpart.mouse,9,"stop(""no information available on parameters from previous call to plot()"")"
