language_dependency,function_name,line_number,call_body
as.numeric,text.rpart,23,"as.numeric(row.names(frame))"
attr,text.rpart,17,"attr(x, ""ylevels"")"
attr,text.rpart,18,"attr(x, ""ylevels"")"
col2rgb,text.rpart,60,"col2rgb(bg, alpha = TRUE)"
FUN,text.rpart,42,"FUN(leftptx, leftpty + 0.52 * cxy[2L],
                rows[left.child[!is.na(left.child)]], ...)"
FUN,text.rpart,44,"FUN(rightptx, rightpty - 0.52 * cxy[2L],
                rows[right.child[!is.na(right.child)]], ...)"
FUN,text.rpart,47,"FUN(xy$x, xy$y + 0.5 * cxy[2L], rows[left.child], ...)"
FUN,text.rpart,100,"FUN(xy$x[leaves], xy$y[leaves] + 0.5 * cxy[2L], stat, ...)"
FUN,text.rpart,101,"FUN(xy$x[leaves], xy$y[leaves] - 0.5 * cxy[2L], stat, adj = 0.5, ...)"
inherits,text.rpart,11,"inherits(x, ""rpart"")"
invisible,text.rpart,103,"invisible()"
is.null,text.rpart,18,"is.null(ylevels <- attr(x, ""ylevels""))"
is.null,text.rpart,20,"is.null(srt <- list(...)$srt)"
is.null,text.rpart,53,"is.null(frame$yval2)"
labels,text.rpart,33,"labels(x, pretty = pretty)"
labels,text.rpart,33,"labels(x, minlength = minlength)"
list,text.rpart,20,"list(...)$srt"
match,text.rpart,26,"match(node.left/2L, node)"
match,text.rpart,30,"match(2L * node, node)"
match,text.rpart,31,"match(node * 2L + 1L, node)"
match,text.rpart,90,"match(node[frame$var == ""<leaf>""], node)"
max,text.rpart,78,"max(string.bounding.box(stat)$columns)"
max,text.rpart,79,"max(string.bounding.box(stat)$rows)"
missing,text.rpart,15,"missing(label)"
missing,text.rpart,32,"missing(pretty)"
missing,text.rpart,32,"missing(minlength)"
names,text.rpart,16,"names(frame)"
nrow,text.rpart,12,"nrow(x$frame)"
nrow,text.rpart,50,"nrow(frame)"
par,text.rpart,8,"par(""bg"")"
par,text.rpart,19,"par(""cxy"")"
rep,text.rpart,50,"rep(TRUE, nrow(frame))"
rev,text.rpart,20,"rev(cxy)"
row.names,text.rpart,23,"row.names(frame)"
sqrt,text.rpart,89,"sqrt(2)"
stop,text.rpart,11,"stop(""Not a legitimate \""rpart\"" object"")"
stop,text.rpart,12,"stop(""fit is not a tree, just a root"")"
warning,text.rpart,15,"warning(""argument 'label' is no longer used"")"
x$functions$text,text.rpart,53,"x$functions$text(yval = if (is.null(frame$yval2)) frame$yval[leaves]
                                else frame$yval2[leaves, ],
                         dev = frame$dev[leaves], wt = frame$wt[leaves],
                         ylevel = ylevels, digits = digits,
                         n = frame$n[leaves], use.n = use.n)"
c,rectangle,72,"c(a, a, -a, -a)"
c,rectangle,73,"c(b, -b, -b, b)"
cos,oval,64,"cos(theta)"
polygon,oval,66,"polygon(newx, newy, border = TRUE, col = bg)"
polygon,rectangle,74,"polygon(newx, newy, border = TRUE, col = bg)"
seq,oval,63,"seq(0, 2 * pi, pi/30)"
sin,oval,65,"sin(theta)"
