language_dependency,function_name,line_number,call_body
aperm,xpred.rpart,139,"aperm(temp)"
array,xpred.rpart,137,"array(pred, dim = c(numresp, length(cp), nrow(X)),
                      dimnames = list(NULL, format(cp), rownames(X)))"
as.double,xpred.rpart,114,"as.double(t(Y))"
as.double,xpred.rpart,117,"as.double(unlist(parms))"
as.double,xpred.rpart,122,"as.double(unlist(controls))"
as.double,xpred.rpart,130,"as.double(costs)"
as.double,xpred.rpart,132,"as.double(cp)"
as.double,xpred.rpart,133,"as.double(fit$frame[1L, ""dev""])"
as.integer,xpred.rpart,78,"as.integer(fit$na.action)"
as.integer,xpred.rpart,120,"as.integer(cats * !fit$ordered)"
as.integer,xpred.rpart,121,"as.integer(method.int)"
as.integer,xpred.rpart,124,"as.integer(xval)"
as.integer,xpred.rpart,125,"as.integer(xgroups)"
as.integer,xpred.rpart,129,"as.integer(numy)"
as.integer,xpred.rpart,131,"as.integer(return.all)"
as.integer,xpred.rpart,134,"as.integer(numresp)"
attr,xpred.rpart,32,"attr(Terms, ""offset"")"
attr,xpred.rpart,53,"attr(fit, ""xlevels"")"
c,xpred.rpart,10,"c(""anova"", ""poisson"", ""class"", ""user"", ""exp"")"
c,xpred.rpart,21,"c("""", ""formula"", ""data"", ""weights"", ""subset"",
                                  ""na.action"")"
c,xpred.rpart,63,"c(10, cp[-length(cp)])"
c,xpred.rpart,137,"c(numresp, length(cp), nrow(X))"
colnames,xpred.rpart,55,"colnames(X)"
colnames,xpred.rpart,56,"colnames(X)"
eval.parent,xpred.rpart,25,"eval.parent(m)"
format,xpred.rpart,138,"format(cp)"
format,xpred.rpart,142,"format(cp)"
get,xpred.rpart,34,"get(paste(""rpart"", method, sep = "".""))"
inherits,xpred.rpart,7,"inherits(fit, ""rpart"")"
is.matrix,xpred.rpart,36,"is.matrix(Y)"
is.matrix,xpred.rpart,40,"is.matrix(Y)"
is.matrix,xpred.rpart,44,"is.matrix(Y)"
is.matrix,xpred.rpart,105,"is.matrix(Y)"
is.matrix,xpred.rpart,114,"is.matrix(Y)"
is.null,xpred.rpart,18,"is.null(Y)"
is.null,xpred.rpart,18,"is.null(X)"
is.null,xpred.rpart,20,"is.null(m)"
is.null,xpred.rpart,23,"is.null(m$na.action)"
is.null,xpred.rpart,27,"is.null(X)"
is.null,xpred.rpart,29,"is.null(Y)"
is.null,xpred.rpart,54,"is.null(xlevels)"
is.null,xpred.rpart,76,"is.null(fit$na.action)"
is.null,xpred.rpart,88,"is.null(costs)"
lapply,xpred.rpart,57,"lapply(xlevels, length)"
length,xpred.rpart,50,"length(wt)"
length,xpred.rpart,63,"length(cp)"
length,xpred.rpart,68,"length(xval)"
length,xpred.rpart,71,"length(xval)"
length,xpred.rpart,73,"length(unique(xgroups))"
length,xpred.rpart,80,"length(xval)"
length,xpred.rpart,82,"length(unique(xgroups))"
length,xpred.rpart,99,"length(parms)"
length,xpred.rpart,118,"length(temp)"
length,xpred.rpart,137,"length(cp)"
list,xpred.rpart,106,"list(numresp = numresp, numy = numy, parms = parms)"
list,xpred.rpart,138,"list(NULL, format(cp), rownames(X))"
list,xpred.rpart,142,"list(rownames(X), format(cp))"
