language_dependency,function_name,line_number,call_body
any,node.match,28,"any(leaves <- leaves[node.index])"
cbind,descendants,46,"cbind(ind[parents[lev == i]], ind[lev == i])"
diag,descendants,41,"diag(desc) <- TRUE"
floor,descendants,43,"floor(log(nodes, base = 2))"
floor,tree.depth,7,"floor(log(nodes, base = 2) + 1e-7)"
gettextf,node.match,25,"gettextf(""supplied nodes %s are not in this tree"",
                         paste(bad, collapse = "",""))"
gettextf,node.match,29,"gettextf(""supplied nodes %s are leaves"",
                paste(good[leaves], collapse = "",""))"
length,descendants,37,"length(nodes)"
length,node.match,24,"length(bad)"
length,string.bounding.box,14,"length"
library.dynam.unload,.onUnload,1,"library.dynam.unload(""rpart"", libpath)"
list,string.bounding.box,16,"list(columns = columns, rows = rows)"
log,descendants,43,"log(nodes, base = 2)"
log,tree.depth,7,"log(nodes, base = 2)"
match,descendants,42,"match((nodes %/% 2L), nodes)"
match,node.match,21,"match(nodes, nodelist, 0L)"
matrix,descendants,38,"matrix(TRUE, 1L, 1L)"
matrix,descendants,40,"matrix(FALSE, n, n)"
max,descendants,45,"max(lev)"
max,string.bounding.box,15,"max(nchar(x, ""w""))"
min,tree.depth,8,"min(depth)"
missing,node.match,28,"missing(leaves)"
nchar,string.bounding.box,15,"nchar(x, ""w"")"
paste,node.match,26,"paste(bad, collapse = "","")"
paste,node.match,30,"paste(good[leaves], collapse = "","")"
return,descendants,38,"return(matrix(TRUE, 1L, 1L))"
sapply,string.bounding.box,14,"sapply(s2, length)"
sapply,string.bounding.box,15,"sapply(s2, function(x) max(nchar(x, ""w"")))"
strsplit,string.bounding.box,13,"strsplit(s, ""\n"")"
warning,node.match,25,"warning(gettextf(""supplied nodes %s are not in this tree"",
                         paste(bad, collapse = "","")), domain = NA)"
warning,node.match,29,"warning(gettextf(""supplied nodes %s are leaves"",
                paste(good[leaves], collapse = "","")), domain = NA)"
