language_dependency,file_path,function_name,line_number,call_body
%*%,na.rpart.R,na.rpart,7,"xmiss %*% rep(1, ncol(xmiss))"
%*%,na.rpart.R,na.rpart,12,"xmiss %*% rep(1, ncol(xmiss))"
%*%,na.rpart.R,na.rpart,13,"ymiss %*% rep(1, ncol(ymiss))"
%*%,na.rpart.R,na.rpart,14,"xmiss %*% rep(1, ncol(xmiss))"
.checkMFClasses,predict.rpart.R,predict.rpart,16,".checkMFClasses(cl, newdata, TRUE)"
.getXlevels,rpart.R,rpart,82,".getXlevels(Terms, m)"
>=,roc.rpart.R,ss.compare,8,a >= b
FUN,text.rpart.R,text.rpart,42,"FUN(leftptx, leftpty + 0.52 * cxy[2L],
                rows[left.child[!is.na(left.child)]], ...)"
FUN,text.rpart.R,text.rpart,44,"FUN(rightptx, rightpty - 0.52 * cxy[2L],
                rows[right.child[!is.na(right.child)]], ...)"
FUN,text.rpart.R,text.rpart,47,"FUN(xy$x, xy$y + 0.5 * cxy[2L], rows[left.child], ...)"
FUN,text.rpart.R,text.rpart,100,"FUN(xy$x[leaves], xy$y[leaves] + 0.5 * cxy[2L], stat, ...)"
FUN,text.rpart.R,text.rpart,101,"FUN(xy$x[leaves], xy$y[leaves] - 0.5 * cxy[2L], stat, adj = 0.5, ...)"
UseMethod,meanvar.rpart.R,meanvar,18,"UseMethod(""meanvar"")"
UseMethod,post.R,post,1,"UseMethod(""post"")"
UseMethod,prune.R,prune,2,"UseMethod(""prune"")"
abbreviate,labels.rpart.R,labels.rpart,70,"lapply(xlevels, abbreviate, minlength, ...)"
abline,plotcp.R,plotcp,36,"abline(h = (xerror + xstd)[minpos], lty = lty, col = col)"
all,na.rpart.R,na.rpart,16,all(keep)
all,rpart.exp.R,rpart.exp,22,all(status == 0)
all,summary.rpart.R,summary.rpart,42,all(is.leaf)
all,summary.rpart.R,summary.rpart,88,"all(nchar(cuts[j], ""w"") < 25L)"
all,summary.rpart.R,summary.rpart,100,"all(nchar(cuts[j], ""w"") < 25L)"
any,labels.rpart.R,labels.rpart,43,any(ncat < 2L)
any,labels.rpart.R,labels.rpart,52,any(ncat > 1L)
any,labels.rpart.R,labels.rpart,65,any(ncat > 52L)
any,pred.rpart.R,pred.rpart,14,any(is.na(vnum))
any,rpart.R,rpart,23,"any(attr(Terms, ""order"") > 1L)"
any,rpart.R,rpart,28,any(wt < 0)
any,rpart.R,rpart,98,any(indx == 0L)
any,rpart.R,rpart,143,any(cost <= 0)
any,rpart.class.R,rpart.class,19,any(temp == 0L)
any,rpart.class.R,rpart.class,28,any(temp < 0)
any,rpart.class.R,rpart.class,38,any(diag(temp2) != 0)
any,rpart.class.R,rpart.class,40,any(temp2 < 0)
any,rpart.class.R,rpart.class,42,any(rowSums(temp2) == 0)
any,rpart.control.R,rpart.control,11,any(xval < 0L)
any,rpart.exp.R,rpart.exp,21,"any(y[, 1L] <= 0)"
any,rpart.exp.R,rpart.exp,115,any(indx == 0L)
any,rpart.poisson.R,rpart.poisson,11,"any(y[, 1L] <= 0)"
any,rpart.poisson.R,rpart.poisson,12,"any(y[, 2L] < 0)"
any,rpart.poisson.R,rpart.poisson,20,any(indx == 0L)
any,snip.rpart.R,snip.rpart,18,any(toss.idx == 0L)
any,snip.rpart.R,snip.rpart,38,any(id2 > 1L)
any,snip.rpart.R,snip.rpart,55,any(temp)
any,snip.rpart.R,snip.rpart,73,any(temp == 0L)
any,snip.rpart.mouse.R,snip.rpart.mouse,46,any(id2 > 1L)
any,summary.rpart.R,summary.rpart,27,any(temp > 0)
any,summary.rpart.R,summary.rpart,57,any(temp < 2L)
any,zzz.R,node.match,28,any(leaves <- leaves[node.index])
aperm,xpred.rpart.R,xpred.rpart,139,aperm(temp)
apply,rpart.class.R,rpart.class,85,"apply(matrix(temp1, ncol = nclass), 1L,
                                paste, collapse = "" "")"
apply,rpart.class.R,rpart.class,87,"apply(matrix(temp2, ncol = nclass), 1L,
                                paste, collapse = "" "")"
apply,rpart.class.R,rpart.class,105,"apply(matrix(temp1, ncol = nclass), 1L,
                                paste, collapse = ""/"")"
approx,rpart.exp.R,rpart.exp,104,"approx(itable, cumhaz, time)$y"
approx,rpart.exp.R,rpart.exp,105,"approx(itable, cumhaz, y[, 1L])$y"
array,roc.rpart.R,roc.rpart,38,"array(0, c(cutoff.n, 2L, 2L))"
array,xpred.rpart.R,xpred.rpart,137,"array(pred, dim = c(numresp, length(cp), nrow(X)),
                      dimnames = list(NULL, format(cp), rownames(X)))"
as.character,importance.R,importance,38,as.character(ff$var[fpri])
as.character,labels.rpart.R,labels.rpart,99,as.character(vnames)
as.character,plotcp.R,plotcp,25,"as.character(signif(cp, 2L))"
as.character,plotcp.R,plotcp,28,as.character(nsplit + 1)
as.character,plotcp.R,plotcp,32,as.character(nsplit)
as.character,printcp.R,printcp,22,as.character(used)
as.character,rpart.class.R,rpart.class,58,"as.character(yval[, 1L])"
as.double,pred.rpart.R,pred.rpart,24,as.double(fit$splits)
as.double,pred.rpart.R,pred.rpart,27,as.double(x)
as.double,rpart.R,rpart,158,as.double(unlist(init$parms))
as.double,rpart.R,rpart,163,as.double(unlist(controls))
as.double,rpart.R,rpart,167,as.double(t(init$y))
as.double,rpart.R,rpart,171,as.double(cost)
as.double,rpart.exp.R,rpart.exp,33,as.double(dtimes)
as.double,rpart.exp.R,rpart.exp,33,as.double(.Machine$double.eps)
as.double,xpred.rpart.R,xpred.rpart,114,as.double(t(Y))
as.double,xpred.rpart.R,xpred.rpart,117,as.double(unlist(parms))
as.double,xpred.rpart.R,xpred.rpart,122,as.double(unlist(controls))
as.double,xpred.rpart.R,xpred.rpart,130,as.double(costs)
as.double,xpred.rpart.R,xpred.rpart,132,as.double(cp)
as.double,xpred.rpart.R,xpred.rpart,133,"as.double(fit$frame[1L, ""dev""])"
as.factor,rpart.class.R,rpart.class,5,as.factor(y)
as.integer,pred.rpart.R,pred.rpart,17,as.integer(dim(x))
as.integer,pred.rpart.R,pred.rpart,18,as.integer(dim(frame)[1L])
as.integer,pred.rpart.R,pred.rpart,19,as.integer(dim(fit$splits))
as.integer,pred.rpart.R,pred.rpart,20,"as.integer(if (is.null(fit$csplit)) rep(0L, 2L) else dim(fit$csplit))"
as.integer,pred.rpart.R,pred.rpart,21,as.integer(row.names(frame))
as.integer,pred.rpart.R,pred.rpart,22,"as.integer(unlist(frame[, c(""n"", ""ncompete"", ""nsurrogate"", ""index"")]))"
as.integer,pred.rpart.R,pred.rpart,23,as.integer(vnum)
as.integer,pred.rpart.R,pred.rpart,25,as.integer(fit$csplit - 2L)
as.integer,pred.rpart.R,pred.rpart,26,as.integer((fit$control)$usesurrogate)
as.integer,pred.rpart.R,pred.rpart,28,as.integer(is.na(x))
as.integer,prune.rpart.R,prune.rpart,4,as.integer(row.names(ff))
as.integer,rpart.R,rpart,127,"as.integer(attr(m, ""na.action""))"
as.integer,rpart.R,rpart,161,as.integer(cats * !isord)
as.integer,rpart.R,rpart,162,as.integer(method.int)
