language_dependency,file_path,function_name,line_number,call_body
as.integer,pred.rpart.R,pred.rpart,17,as.integer(dim(x))
as.integer,pred.rpart.R,pred.rpart,18,as.integer(dim(frame)[1L])
as.integer,pred.rpart.R,pred.rpart,19,as.integer(dim(fit$splits))
as.integer,pred.rpart.R,pred.rpart,20,"as.integer(if (is.null(fit$csplit)) rep(0L, 2L) else dim(fit$csplit))"
as.integer,pred.rpart.R,pred.rpart,21,as.integer(row.names(frame))
as.integer,pred.rpart.R,pred.rpart,22,"as.integer(unlist(frame[, c(""n"", ""ncompete"", ""nsurrogate"", ""index"")]))"
as.integer,pred.rpart.R,pred.rpart,23,as.integer(vnum)
as.integer,pred.rpart.R,pred.rpart,25,as.integer(fit$csplit - 2L)
as.integer,pred.rpart.R,pred.rpart,26,as.integer((fit$control)$usesurrogate)
as.integer,pred.rpart.R,pred.rpart,28,as.integer(is.na(x))
as.integer,prune.rpart.R,prune.rpart,4,as.integer(row.names(ff))
as.integer,rpart.R,rpart,127,"as.integer(attr(m, ""na.action""))"
as.integer,rpart.R,rpart,161,as.integer(cats * !isord)
as.integer,rpart.R,rpart,162,as.integer(method.int)
as.integer,rpart.R,rpart,165,as.integer(xval)
as.integer,rpart.R,rpart,166,as.integer(xgroups)
as.integer,rpart.R,rpart,170,as.integer(init$numy)
as.integer,rpart.R,rpart,203,as.integer(cdir[i])
as.integer,rpart.R,rpart,204,as.integer(cdir[i])
as.integer,rpart.class.R,rpart.class,6,as.integer(fy)
as.integer,rpartcallback.R,rpartcallback,109,as.integer(numy)
as.integer,rpartcallback.R,rpartcallback,109,as.integer(numresp)
as.integer,snip.rpart.R,snip.rpart,14,as.integer(row.names(ff))
as.integer,snip.rpart.mouse.R,snip.rpart.mouse,21,as.integer(row.names(tree$frame))
as.integer,summary.rpart.R,summary.rpart,34,as.integer(row.names(ff))
as.integer,xpred.rpart.R,xpred.rpart,78,as.integer(fit$na.action)
as.integer,xpred.rpart.R,xpred.rpart,120,as.integer(cats * !fit$ordered)
as.integer,xpred.rpart.R,xpred.rpart,121,as.integer(method.int)
as.integer,xpred.rpart.R,xpred.rpart,124,as.integer(xval)
as.integer,xpred.rpart.R,xpred.rpart,125,as.integer(xgroups)
as.integer,xpred.rpart.R,xpred.rpart,129,as.integer(numy)
as.integer,xpred.rpart.R,xpred.rpart,131,as.integer(return.all)
as.integer,xpred.rpart.R,xpred.rpart,134,as.integer(numresp)
