language_dependency,file_path,function_name,line_number,call_body
attr,labels.rpart.R,labels.rpart,53,"attr(object, ""xlevels"")"
attr,model.frame.rpart.R,model.frame.rpart,8,"attr(m, ""terms"")"
attr,na.rpart.R,na.rpart,3,"attr(x, ""terms"")"
attr,na.rpart.R,na.rpart,4,"attr(Terms, ""response"")"
attr,post.rpart.R,post.rpart,21,"attr(tree$terms, ""variables"")"
attr,predict.rpart.R,predict.rpart,11,"attr(newdata, ""terms"")"
attr,predict.rpart.R,predict.rpart,14,"attr(object, ""xlevels"")"
attr,predict.rpart.R,predict.rpart,15,"attr(Terms, ""dataClasses"")"
attr,predict.rpart.R,predict.rpart,21,"attr(object, ""ylevels"")"
attr,print.rpart.R,print.rpart,8,"attr(x, ""ylevels"")"
attr,residuals.rpart.R,residuals.rpart,15,"attr(object, ""ylevels"")"
attr,roc.rpart.R,roc.rpart,5,"attr(object, ""ylevels"")"
attr,rpart.R,rpart,22,"attr(m, ""terms"")"
attr,rpart.R,rpart,23,"attr(Terms, ""order"")"
attr,rpart.R,rpart,125,"attr(m, ""na.action"")"
attr,rpart.R,rpart,127,"attr(m, ""na.action"")"
attr,rpart.R,rpart,153,"attr(Terms, ""term.labels"")"
attr,rpart.R,rpart,293,"attr(m, ""na.action"")"
attr,rpart.R,rpart,294,"attr(ans, ""xlevels"") <- xlevels"
attr,rpart.R,rpart,295,"attr(ans, ""ylevels"") <- init$ylevels"
attr,rpart.matrix.R,rpart.matrix,12,"attr(frame, ""terms"")"
attr,rpart.matrix.R,rpart.matrix,27,"attr(frame, ""terms"")"
attr,summary.rpart.R,summary.rpart,33,"attr(x, ""ylevels"")"
attr,text.rpart.R,text.rpart,17,"attr(x, ""ylevels"")"
attr,text.rpart.R,text.rpart,18,"attr(x, ""ylevels"")"
attr,xpred.rpart.R,xpred.rpart,32,"attr(Terms, ""offset"")"
attr,xpred.rpart.R,xpred.rpart,53,"attr(fit, ""xlevels"")"
