language_dependency,file_path,function_name,line_number,call_body
c,importance.R,importance,12,"c(0, 1 + ff$ncompete[fpri] + ff$nsurrogate[fpri])"
c,importance.R,importance,37,"c(scaled.imp, unlist(sval))"
c,importance.R,importance,38,"c(as.character(ff$var[fpri]), unlist(sname))"
c,importance.R,importance,40,c(import)
c,labels.rpart.R,labels.rpart,34,"c(1, ff$ncompete + ff$nsurrogate + !is.leaf)"
c,labels.rpart.R,labels.rpart,35,"c(whichrow, FALSE)"
c,labels.rpart.R,labels.rpart,68,"c(letters, LETTERS)"
c,plot.rpart.R,plot.rpart,19,"c(-margin, margin)"
c,plot.rpart.R,plot.rpart,20,"c(-margin, margin)"
c,plot.rpart.R,plot.rpart,31,c(temp$x)
c,plot.rpart.R,plot.rpart,31,c(temp$y)
c,plotcp.R,plotcp,17,"c(Inf, cp0[-length(cp0)])"
c,plotcp.R,plotcp,19,"c(min(xerror - xstd) - 0.1, max(xerror + xstd) + 0.1)"
c,plotcp.R,plotcp,20,"c(list(ns, xerror, axes = FALSE, xlab = ""cp"",
                         ylab = ""X-val Relative Error"", type = ""o""), dots)"
c,post.rpart.R,post.rpart,9,"c(2,2,4,2)"
c,post.rpart.R,post.rpart,12,"c(2,2,4,2)"
c,pred.rpart.R,pred.rpart,9,"c(""ncompete"", ""nsurrogate"")"
c,pred.rpart.R,pred.rpart,10,"c(0L, cumsum((frame$var != ""<leaf>"") +
                                     nc[[1L]] + nc[[2L]]))"
c,pred.rpart.R,pred.rpart,22,"c(""n"", ""ncompete"", ""nsurrogate"", ""index"")"
c,roc.rpart.R,roc.rpart,12,"c(0, 1, object$frame$yprob[endnodes, 2L])"
c,roc.rpart.R,roc.rpart,19,"c(NA, cutoffs)"
c,roc.rpart.R,roc.rpart,25,"c(cutoffs, NA)"
c,roc.rpart.R,roc.rpart,38,"c(cutoff.n, 2L, 2L)"
c,rpart.R,rpart,13,"c(""formula"", ""data"", ""weights"", ""subset"")"
c,rpart.R,rpart,16,"c(1L, indx)"
c,rpart.R,rpart,58,"c(""anova"", ""poisson"", ""class"", ""exp"")"
c,rpart.R,rpart,60,"c(""anova"", ""poisson"", ""class"", ""exp"")[method.int]"
c,rpart.R,rpart,180,"c(""CP"", ""nsplit"", ""rel error"")"
c,rpart.R,rpart,181,"c(""CP"", ""nsplit"", ""rel error"", ""xerror"", ""xstd"")"
c,rpart.R,rpart,184,"c(""<leaf>"", colnames(X))"
c,rpart.R,rpart,185,"c(rpfit$isplit[, 2:3], rpfit$dsplit)"
c,rpart.R,rpart,187,"c(""count"", ""ncat"", ""improve"", ""index"", ""adj"")"
c,rpart.R,rpart,265,"c(functions, list(text = init$text))"
c,rpart.R,rpart,266,"c(functions, mlist)"
c,rpart.exp.R,drate2,83,"c(temp[-1L], 0)"
c,rpart.exp.R,drate2,88,"c(0, temp[-ngrp])"
c,rpart.exp.R,rpart.exp,42,"c(0, dtimes[-length(dtimes)], max(time))"
c,rpart.exp.R,rpart.exp,103,"c(0, rate * diff(itable))"
c,rpart.exp.R,rpart.exp,109,"c(shrink = 1L, method = 1L)"
c,rpart.exp.R,rpart.exp,113,"c(""method"", ""shrink"")"
c,rpart.exp.R,rpart.exp,121,"c(""deviance"", ""sqrt"")"
c,rpart.exp.R,rpart.exp,128,"c(shrink = shrink, method = method)"
c,rpart.poisson.R,rpart.poisson,14,"c(shrink = 1L, method = 1L)"
c,rpart.poisson.R,rpart.poisson,18,"c(""method"", ""shrink"")"
c,rpart.poisson.R,rpart.poisson,26,"c(""deviance"", ""sqrt"")"
c,rpart.poisson.R,rpart.poisson,34,"c(shrink = shrink, method = method)"
c,rpartcallback.R,rpartcallback,39,"c(temp$deviance, temp$label)"
c,rpartcallback.R,rpartcallback,58,"c(temp$goodness, temp$direction)"
c,rpartcallback.R,rpartcallback,68,"c(temp$deviance, temp$label)"
c,rpartcallback.R,rpartcallback,89,"c(temp$goodness, temp$direction)"
c,rpartco.R,compress,133,"c(x[me] - nspace * (x[me] - x[lson]), templ)"
c,rpartco.R,compress,134,"c(x[me] - nspace * (x[me] - x[rson]), tempr)"
c,rpartco.R,compress,135,"c(me, left$sons, right$sons)"
c,snip.rpart.R,snip.rpart,41,"c(toss, id[xx])"
c,snip.rpart.mouse.R,snip.rpart.mouse,49,"c(id, node[temp])"
c,snip.rpart.mouse.R,snip.rpart.mouse,53,"c(draw$x[, temp])"
c,snip.rpart.mouse.R,snip.rpart.mouse,53,"c(draw$y[, temp])"
c,snip.rpart.mouse.R,snip.rpart.mouse,54,"c(toss, node[choose])"
c,summary.rpart.R,summary.rpart,40,"c(1L, ff$ncompete + ff$nsurrogate + !is.leaf)"
c,summary.rpart.R,summary.rpart,52,"c(""L"", ""-"", ""R"")"
c,summary.rpart.R,summary.rpart,78,"c(0L, 1L)"
c,text.rpart.R,rectangle,72,"c(a, a, -a, -a)"
c,text.rpart.R,rectangle,73,"c(b, -b, -b, b)"
c,xpred.rpart.R,xpred.rpart,10,"c(""anova"", ""poisson"", ""class"", ""user"", ""exp"")"
c,xpred.rpart.R,xpred.rpart,21,"c("""", ""formula"", ""data"", ""weights"", ""subset"",
                                  ""na.action"")"
c,xpred.rpart.R,xpred.rpart,63,"c(10, cp[-length(cp)])"
c,xpred.rpart.R,xpred.rpart,137,"c(numresp, length(cp), nrow(X))"
