language_dependency,file_path,function_name,line_number,call_body
ifelse,labels.rpart.R,labels.rpart,46,"ifelse(ncat < 0, ""< "", "">="")"
ifelse,labels.rpart.R,labels.rpart,47,"ifelse(ncat < 0, "">="", ""< "")"
ifelse,labels.rpart.R,labels.rpart,93,"ifelse(ncat < 2L, """", ""="")"
ifelse,labels.rpart.R,labels.rpart,94,"ifelse(ncat < 2L, """", ""="")"
ifelse,residuals.rpart.R,residuals.rpart,34,"ifelse(expect == 0, 0.0001, 0)"
ifelse,rpart.R,rpart,231,"ifelse(index == 0L, 1L, index)"
ifelse,rpart.R,rpart,232,"ifelse(index == 0L, 0L, rpfit$isplit[temp, 1L])"
ifelse,rpart.class.R,rpart.class,9,"ifelse(is.na(counts), 0, counts)"
ifelse,rpartco.R,rpartco,31,"ifelse(node %% 2L, node - 1L, node + 1L)"
ifelse,rpartco.R,rpartco,47,"ifelse(temp2 <= fudge & haskids, fudge, temp2)"
ifelse,summary.rpart.R,summary.rpart,35,"ifelse(id == 1L, 1L, id %/% 2L)"
ifelse,summary.rpart.R,summary.rpart,59,"ifelse(temp >= 2L, "","", ifelse(temp == 1L, "" to the right,"", "" to the left, ""))"
ifelse,summary.rpart.R,summary.rpart,60,"ifelse(temp == 1L, "" to the right,"", "" to the left, "")"
