language_dependency,file_path,function_name,line_number,call_body
inherits,meanvar.rpart.R,meanvar.rpart,4,"inherits(tree, ""rpart"")"
inherits,path.rpart.R,path.rpart,5,"inherits(tree, ""rpart"")"
inherits,plot.rpart.R,plot.rpart,5,"inherits(x, ""rpart"")"
inherits,plotcp.R,plotcp,7,"inherits(x, ""rpart"")"
inherits,predict.rpart.R,predict.rpart,5,"inherits(object, ""rpart"")"
inherits,print.rpart.R,print.rpart,4,"inherits(x, ""rpart"")"
inherits,printcp.R,printcp,4,"inherits(x, ""rpart"")"
inherits,residuals.rpart.R,residuals.rpart,4,"inherits(object, ""rpart"")"
inherits,roc.rpart.R,roc.rpart,4,"inherits(object, ""rpart"")"
inherits,rpart.R,rpart,37,"inherits(Y, ""Surv"")"
inherits,rpart.exp.R,rpart.exp,14,"inherits(y, ""Surv"")"
inherits,rpart.matrix.R,rpart.matrix,11,"inherits(frame, ""data.frame"")"
inherits,rsq.rpart.R,rsq.rpart,7,"inherits(x, ""rpart"")"
inherits,snip.rpart.R,snip.rpart,6,"inherits(x, ""rpart"")"
inherits,summary.rpart.R,summary.rpart,4,"inherits(object, ""rpart"")"
inherits,text.rpart.R,text.rpart,11,"inherits(x, ""rpart"")"
inherits,xpred.rpart.R,xpred.rpart,7,"inherits(fit, ""rpart"")"
