language_dependency,file_path,function_name,line_number,call_body
invisible,meanvar.rpart.R,meanvar.rpart,15,"invisible(list(x = x, y = y, label = label))"
invisible,path.rpart.R,path.rpart,24,invisible()
invisible,path.rpart.R,path.rpart,33,invisible(path)
invisible,plot.rpart.R,plot.rpart,33,"invisible(list(x = xx, y = yy))"
invisible,plotcp.R,plotcp,37,invisible()
invisible,post.rpart.R,post.rpart,13,invisible(par(oldpar))
invisible,print.rpart.R,print.rpart,39,invisible(x)
invisible,printcp.R,printcp,38,invisible(x$cptable)
invisible,rsq.rpart.R,rsq.rpart,29,invisible()
invisible,summary.rpart.R,summary.rpart,114,invisible(x)
invisible,text.rpart.R,text.rpart,103,invisible()
