language_dependency,file_path,function_name,line_number,call_body
is.matrix,formatg.R,formatg,9,is.matrix(x)
is.matrix,na.rpart.R,na.rpart,11,is.matrix(ymiss)
is.matrix,rpart.R,rpart,38,is.matrix(Y)
is.matrix,rpart.R,tfun,152,is.matrix(x)
is.matrix,rpart.class.R,rpart.class,66,is.matrix(yprob)
is.matrix,rpart.poisson.R,rpart.poisson,3,is.matrix(y)
is.matrix,rpart.poisson.R,rpart.poisson,45,is.matrix(yval)
is.matrix,snip.rpart.R,snip.rpart,58,is.matrix(x$csplit)
is.matrix,snip.rpart.mouse.R,snip.rpart.mouse,36,is.matrix(ff$yval2)
is.matrix,xpred.rpart.R,xpred.rpart,36,is.matrix(Y)
is.matrix,xpred.rpart.R,xpred.rpart,40,is.matrix(Y)
is.matrix,xpred.rpart.R,xpred.rpart,44,is.matrix(Y)
is.matrix,xpred.rpart.R,xpred.rpart,105,is.matrix(Y)
is.matrix,xpred.rpart.R,xpred.rpart,114,is.matrix(Y)
