language_dependency,file_path,function_name,line_number,call_body
is.null,labels.rpart.R,labels.rpart,20,is.null(pretty)
is.null,model.frame.rpart.R,model.frame.rpart,4,is.null(m)
is.null,model.frame.rpart.R,model.frame.rpart,8,"is.null(attr(m, ""terms""))"
is.null,na.rpart.R,na.rpart,4,is.null(Terms)
is.null,pred.rpart.R,pred.rpart,20,is.null(fit$csplit)
is.null,predict.rpart.R,predict.rpart,11,"is.null(attr(newdata, ""terms""))"
is.null,predict.rpart.R,predict.rpart,15,"is.null(cl <- attr(Terms, ""dataClasses""))"
is.null,predict.rpart.R,predict.rpart,24,is.null(frame$yval2)
is.null,predict.rpart.R,predict.rpart,42,is.null(object$na.action)
is.null,print.rpart.R,print.rpart,19,is.null(tfun)
is.null,print.rpart.R,print.rpart,20,is.null(frame$yval2)
is.null,printcp.R,printcp,12,is.null(cl <- x$call)
is.null,printcp.R,printcp,20,is.null(used)
is.null,residuals.rpart.R,residuals.rpart,8,is.null(y)
is.null,residuals.rpart.R,residuals.rpart,47,is.null(object$na.action)
is.null,rpart.R,rpart,84,is.null(xlevels)
is.null,rpart.R,rpart,114,is.null(xval)
is.null,rpart.R,rpart,125,"is.null(attr(m, ""na.action""))"
is.null,rpart.R,rpart,175,is.null(rpfit$csplit)
is.null,rpart.R,rpart,261,is.null(init$summary)
is.null,rpart.R,rpart,263,is.null(init$print)
is.null,rpart.R,rpart,265,is.null(init$text)
is.null,rpart.R,rpart,293,"is.null(attr(m, ""na.action""))"
is.null,rpart.R,rpart,294,is.null(xlevels)
is.null,rpart.anova.R,rpart.anova,3,is.null(offset)
is.null,rpart.class.R,rpart.class,3,is.null(offset)
is.null,rpart.class.R,rpart.class,11,is.null(parms)
is.null,rpart.class.R,rpart.class,17,is.null(names(parms))
is.null,rpart.class.R,rpart.class,24,is.null(parms$prior)
is.null,rpart.class.R,rpart.class,32,is.null(parms$loss)
is.null,rpart.class.R,rpart.class,46,is.null(parms$split)
is.null,rpart.class.R,rpart.class,49,is.null(temp3)
is.null,rpart.class.R,rpart.class,58,is.null(ylevel)
is.null,rpart.class.R,rpart.class,80,is.null(ylevel)
is.null,rpart.class.R,rpart.class,101,is.null(ylevel)
is.null,rpart.exp.R,rpart.exp,112,is.null(names(parms))
is.null,rpart.exp.R,rpart.exp,120,is.null(parms$method)
is.null,rpart.exp.R,rpart.exp,124,is.null(parms$shrink)
is.null,rpart.matrix.R,rpart.matrix,12,"is.null(attr(frame, ""terms""))"
is.null,rpart.poisson.R,rpart.poisson,6,is.null(offset)
is.null,rpart.poisson.R,rpart.poisson,8,is.null(offset)
is.null,rpart.poisson.R,rpart.poisson,17,is.null(names(parms))
is.null,rpart.poisson.R,rpart.poisson,25,is.null(parms$method)
is.null,rpart.poisson.R,rpart.poisson,29,is.null(parms$shrink)
is.null,snip.rpart.mouse.R,snip.rpart.mouse,35,is.null(ff$yval2)
is.null,summary.rpart.R,summary.rpart,14,is.null(x$call)
is.null,summary.rpart.R,summary.rpart,25,is.null(temp <- x$variable.importance)
is.null,summary.rpart.R,summary.rpart,63,is.null(ff$yval2)
is.null,text.rpart.R,text.rpart,18,"is.null(ylevels <- attr(x, ""ylevels""))"
is.null,text.rpart.R,text.rpart,20,is.null(srt <- list(...)$srt)
is.null,text.rpart.R,text.rpart,53,is.null(frame$yval2)
is.null,xpred.rpart.R,xpred.rpart,18,is.null(Y)
is.null,xpred.rpart.R,xpred.rpart,18,is.null(X)
is.null,xpred.rpart.R,xpred.rpart,20,is.null(m)
is.null,xpred.rpart.R,xpred.rpart,23,is.null(m$na.action)
is.null,xpred.rpart.R,xpred.rpart,27,is.null(X)
is.null,xpred.rpart.R,xpred.rpart,29,is.null(Y)
is.null,xpred.rpart.R,xpred.rpart,54,is.null(xlevels)
is.null,xpred.rpart.R,xpred.rpart,76,is.null(fit$na.action)
is.null,xpred.rpart.R,xpred.rpart,88,is.null(costs)
