language_dependency,file_path,function_name,line_number,call_body
length,labels.rpart.R,labels.rpart,41,length(irow)
length,path.rpart.R,path.rpart,15,"length(i <- identify(xy, n = 1L, plot = FALSE))"
length,path.rpart.R,path.rpart,23,"length(nodes <- node.match(nodes, node))"
length,plotcp.R,plotcp,17,length(cp0)
length,predict.rpart.R,predict.rpart,22,length(ylevels)
length,predict.rpart.R,predict.rpart,31,length(ylevels)
length,print.rpart.R,print.rpart,13,length(node)
length,print.rpart.R,print.rpart,23,length(depth)
length,print.rpart.R,print.rpart,30,length(omit)
length,printcp.R,printcp,35,length(omit)
length,prune.rpart.R,prune.rpart,6,length(toss)
length,residuals.rpart.R,residuals.rpart,16,length(ylevels)
length,roc.rpart.R,roc.rpart,5,"length(attr(object, ""ylevels""))"
length,roc.rpart.R,roc.rpart,28,length(cutoffs)
length,rpart.R,rpart,29,length(wt)
length,rpart.R,rpart,95,length(extraArgs)
length,rpart.R,rpart,114,length(xval)
length,rpart.R,rpart,117,length(xval)
length,rpart.R,rpart,120,length(xval)
length,rpart.R,rpart,129,length(xval)
length,rpart.R,rpart,141,length(cost)
length,rpart.R,rpart,159,length(temp)
length,rpart.class.R,rpart.class,29,length(temp)
length,rpart.class.R,rpart.class,35,length(temp2)
length,rpart.exp.R,drate2,56,length(ilength)
length,rpart.exp.R,rpart.exp,39,length(dtimes)
length,rpart.exp.R,rpart.exp,42,length(dtimes)
length,rpart.exp.R,rpart.exp,107,length(offset)
length,rpartcallback.R,rpartcallback,6,length(mlist)
length,rpartcallback.R,rpartcallback,35,length(temp$label)
length,rpartcallback.R,rpartcallback,37,length(temp$deviance)
length,rpartcallback.R,rpartcallback,47,length(temp$goodness)
length,rpartcallback.R,rpartcallback,48,length(temp$direction)
length,rpartcallback.R,rpartcallback,53,length(temp$goodness)
length,rpartcallback.R,rpartcallback,55,length(temp$direction)
length,rpartcallback.R,rpartcallback,64,length(temp$label)
length,rpartcallback.R,rpartcallback,66,length(temp$deviance)
length,rpartcallback.R,rpartcallback,77,length(temp$goodness)
length,rpartcallback.R,rpartcallback,78,length(temp$direction)
length,rpartcallback.R,rpartcallback,84,length(temp$goodness)
length,rpartcallback.R,rpartcallback,86,length(temp$direction)
length,rpartco.R,rpartco,15,length(parms)
length,rpartco.R,rpartco,54,length(node)
length,snip.rpart.R,snip.rpart,8,length(toss) == 0L
length,snip.rpart.R,snip.rpart,10,length(toss) == 0L
length,snip.rpart.R,snip.rpart,15,length(id)
length,snip.rpart.mouse.R,snip.rpart.mouse,17,length(parms$branch)
length,snip.rpart.mouse.R,snip.rpart.mouse,25,"length(choose <- identify(xy, n = 1L, plot = FALSE))"
length,summary.rpart.R,summary.rpart,21,length(omit)
length,summary.rpart.R,summary.rpart,38,length(rows)
length,xpred.rpart.R,xpred.rpart,50,length(wt)
length,xpred.rpart.R,xpred.rpart,63,length(cp)
length,xpred.rpart.R,xpred.rpart,68,length(xval)
length,xpred.rpart.R,xpred.rpart,71,length(xval)
length,xpred.rpart.R,xpred.rpart,73,length(unique(xgroups))
length,xpred.rpart.R,xpred.rpart,80,length(xval)
length,xpred.rpart.R,xpred.rpart,82,length(unique(xgroups))
length,xpred.rpart.R,xpred.rpart,99,length(parms)
length,xpred.rpart.R,xpred.rpart,118,length(temp)
length,xpred.rpart.R,xpred.rpart,137,length(cp)
length,zzz.R,descendants,37,length(nodes)
length,zzz.R,node.match,24,length(bad)
length,zzz.R,string.bounding.box,14,length
