language_dependency,file_path,function_name,line_number,call_body
match,labels.rpart.R,labels.rpart,61,"match(vnames, names(xlevels))"
match,labels.rpart.R,labels.rpart,101,"match(node %/% 2L, node[whichrow])"
match,pred.rpart.R,pred.rpart,13,"match(rownames(fit$splits), colnames(x))"
match,prune.rpart.R,prune.rpart,10,"match(unique(temp), temp)"
match,residuals.rpart.R,residuals.rpart,11,"match(type, c(""usual"", ""pearson"", ""deviance""))"
match,rpart.R,rpart,13,"match(c(""formula"", ""data"", ""weights"", ""subset""),
                      names(Call), nomatch = 0L)"
match,rpart.R,rpart,87,"match(names(xlevels), colnames(X), nomatch=0)"
match,rpart.R,rpart,97,"match(names(extraArgs), controlargs, nomatch = 0L)"
match,rpart.branch.R,rpart.branch,19,"match(node.left/2L, node)"
match,rpart.branch.R,rpart.branch,20,"match(node.left + 1L, node)"
match,rpartco.R,rpartco,30,"match(node %/% 2L, node)"
match,rpartco.R,rpartco,31,"match(ifelse(node %% 2L, node - 1L, node + 1L), node)"
match,rpartco.R,rpartco,56,"match(node * 2L, node)"
match,rpartco.R,rpartco,57,"match(node * 2L + 1L, node)"
match,snip.rpart.R,snip.rpart,17,"match(toss, id, 0L)"
match,snip.rpart.R,snip.rpart,40,"match(id2, toss, 0L)"
match,snip.rpart.R,snip.rpart,46,"match(toss %/% 2L , toss, 0L)"
match,snip.rpart.R,snip.rpart,47,"match(toss[temp == 0L], id)"
match,snip.rpart.R,snip.rpart,48,"match(id, toss)"
match,snip.rpart.R,snip.rpart,53,"match(n.split, keepit, 0L)"
match,snip.rpart.R,snip.rpart,72,"match(id2, id3, 0L)"
match,snip.rpart.R,snip.rpart,75,"match(id2, id3, 0L)"
match,snip.rpart.R,snip.rpart,77,"match(id2, id3)"
match,snip.rpart.mouse.R,snip.rpart.mouse,48,"match(id2, id, 0L)"
match,snip.rpart.mouse.R,snip.rpart.mouse,52,"match(id, node[ff$var != ""<leaf>""], 0L)"
match,summary.rpart.R,summary.rpart,36,"match(parent.id, id)"
match,summary.rpart.R,summary.rpart,79,"match(sons, id)"
match,text.rpart.R,text.rpart,26,"match(node.left/2L, node)"
match,text.rpart.R,text.rpart,30,"match(2L * node, node)"
match,text.rpart.R,text.rpart,31,"match(node * 2L + 1L, node)"
match,text.rpart.R,text.rpart,90,"match(node[frame$var == ""<leaf>""], node)"
match,xpred.rpart.R,xpred.rpart,21,"match(c("""", ""formula"", ""data"", ""weights"", ""subset"",
                                  ""na.action""), names(fit$call), 0L)"
match,xpred.rpart.R,xpred.rpart,56,"match(names(xlevels), colnames(X))"
match,zzz.R,descendants,42,"match((nodes %/% 2L), nodes)"
match,zzz.R,node.match,21,"match(nodes, nodelist, 0L)"
