language_dependency,file_path,function_name,line_number,call_body
matrix,formatg.R,formatg,9,"matrix(temp, nrow = nrow(x))"
matrix,roc.rpart.R,roc.rpart,18,"matrix(FALSE, nrow = 1L, ncol = last.c)"
matrix,roc.rpart.R,roc.rpart,24,"matrix(TRUE, nrow = 1L, ncol = last.c)"
matrix,roc.rpart.R,roc.rpart,30,"matrix(0, nrow = cutoff.n, ncol = 1L)"
matrix,roc.rpart.R,roc.rpart,31,"matrix(0, nrow = cutoff.n, ncol = 1L)"
matrix,roc.rpart.R,roc.rpart,32,"matrix(0, nrow = cutoff.n, ncol = 1L)"
matrix,roc.rpart.R,roc.rpart,33,"matrix(0, nrow = cutoff.n, ncol = 1L)"
matrix,roc.rpart.R,roc.rpart,34,"matrix(0, nrow = cutoff.n, ncol = 1L)"
matrix,roc.rpart.R,roc.rpart,35,"matrix(0, nrow = cutoff.n, ncol = 1L)"
matrix,roc.rpart.R,roc.rpart,36,"matrix(0, nrow = cutoff.n, ncol = 1L)"
matrix,roc.rpart.R,roc.rpart,37,"matrix(0, nrow = cutoff.n, ncol = 1L)"
matrix,roc.rpart.R,roc.rpart,41,"matrix(0, nrow = 2L, ncol = 2L)"
matrix,rpart.R,rpart,185,"matrix(c(rpfit$isplit[, 2:3], rpfit$dsplit), ncol = 5L,
                     dimnames = list(tname[rpfit$isplit[, 1L] + 1L],
                     c(""count"", ""ncat"", ""improve"", ""index"", ""adj"")))"
matrix,rpart.R,rpart,193,"matrix(0L, nadd, max(cats))"
matrix,rpart.R,rpart,213,"matrix(0L, nrow(cs), ncc - ncs)"
matrix,rpart.R,rpart,256,"matrix(rpfit$dnode[, 4L + (0L:numclass)], ncol = numclass + 1L)"
matrix,rpart.class.R,rpart.class,13,"matrix(rep(1, numclass^2) - diag(numclass),
                                   numclass)"
matrix,rpart.class.R,rpart.class,37,"matrix(temp2, ncol = numclass)"
matrix,rpart.class.R,rpart.class,51,"matrix(temp2, numclass)"
matrix,rpart.class.R,rpart.class,67,"matrix(yprob, nrow = 1L)"
matrix,rpart.class.R,rpart.class,85,"matrix(temp1, ncol = nclass)"
matrix,rpart.class.R,rpart.class,87,"matrix(temp2, ncol = nclass)"
matrix,rpart.class.R,rpart.class,105,"matrix(temp1, ncol = nclass)"
matrix,rpart.poisson.R,rpart.poisson,45,"matrix(yval, nrow = 1L)"
matrix,rpartcallback.R,rpartcallback,62,"matrix(yback[1L:(nback * numy)], ncol = numy)"
matrix,rpartcallback.R,rpartcallback,73,"matrix(yback[1L:(n2 * numy)], ncol = numy)"
matrix,rpartcallback.R,rpartcallback,81,"matrix(yback[1L:(nback * numy)], ncol = numy)"
matrix,xpred.rpart.R,xpred.rpart,141,"matrix(pred, nrow = nrow(X), byrow = TRUE,
               dimnames = list(rownames(X), format(cp)))"
matrix,zzz.R,descendants,38,"matrix(TRUE, 1L, 1L)"
matrix,zzz.R,descendants,40,"matrix(FALSE, n, n)"
