language_dependency,file_path,function_name,line_number,call_body
missing,labels.rpart.R,labels.rpart,19,missing(minlength)
missing,labels.rpart.R,labels.rpart,19,missing(pretty)
missing,path.rpart.R,path.rpart,13,missing(nodes)
missing,plot.rpart.R,plot.rpart,8,missing(nspace)
missing,post.rpart.R,post.rpart,20,missing(title.)
missing,predict.rpart.R,predict.rpart,7,missing(type)
missing,predict.rpart.R,predict.rpart,9,missing(newdata)
missing,predict.rpart.R,predict.rpart,42,missing(newdata)
missing,print.rpart.R,print.rpart,6,missing(cp)
missing,rpart.R,rpart,35,missing(method)
missing,rpart.R,rpart,49,missing(parms)
missing,rpart.R,rpart,67,missing(parms)
missing,rpart.R,rpart,107,missing(control)
missing,rpart.R,rpart,139,missing(cost)
missing,rpart.R,rpart,285,missing(y)
missing,rpart.branch.R,rpart.branch,7,missing(branch)
missing,rpart.class.R,rpart.class,11,missing(parms)
missing,rpart.control.R,rpart.control,17,missing(minsplit)
missing,rpart.control.R,rpart.control,17,missing(minbucket)
missing,rpart.exp.R,rpart.exp,109,missing(parms)
missing,rpart.poisson.R,rpart.poisson,14,missing(parms)
missing,rpartco.R,rpartco,4,missing(parms)
missing,snip.rpart.R,snip.rpart,8,missing(toss)
missing,snip.rpart.mouse.R,snip.rpart.mouse,6,missing(parms)
missing,summary.rpart.R,summary.rpart,9,missing(file)
missing,text.rpart.R,text.rpart,15,missing(label)
missing,text.rpart.R,text.rpart,32,missing(pretty)
missing,text.rpart.R,text.rpart,32,missing(minlength)
missing,xpred.rpart.R,xpred.rpart,61,missing(cp)
missing,zzz.R,node.match,28,missing(leaves)
