language_dependency,file_path,function_name,line_number,call_body
names,plotcp.R,plotcp,18,names(dots)
names,pred.rpart.R,pred.rpart,29,names(temp)
names,predict.rpart.R,predict.rpart,26,names(pred) <- names(where)
names,predict.rpart.R,predict.rpart,26,names(where)
names,predict.rpart.R,predict.rpart,29,names(where)
names,predict.rpart.R,predict.rpart,34,names(pred) <- names(where)
names,predict.rpart.R,predict.rpart,34,names(where)
names,predict.rpart.R,predict.rpart,37,names(where)
names,residuals.rpart.R,residuals.rpart,45,names(resid) <- names(y)
names,residuals.rpart.R,residuals.rpart,45,names(y)
names,rpart.R,rpart,14,names(Call)
names,rpart.R,rpart,87,names(xlevels)
names,rpart.R,rpart,96,names(formals(rpart.control))
names,rpart.R,rpart,97,names(extraArgs)
names,rpart.R,rpart,100,names(extraArgs)
names,rpart.R,rpart,108,names(control)
names,rpart.R,rpart,108,names(controls)
names,rpart.R,rpart,269,names(where) <- row.names(m)
names,rpart.class.R,rpart.class,17,names(parms)
names,rpart.class.R,rpart.class,18,names(parms)
names,rpart.class.R,rpart.class,21,names(parms)
names,rpart.class.R,rpart.class,22,names(parms)
names,rpart.exp.R,rpart.exp,112,names(parms)
names,rpart.exp.R,rpart.exp,114,names(parms)
names,rpart.exp.R,rpart.exp,117,names(parms)[indx == 0L]
names,rpart.exp.R,rpart.exp,118,names(parms) <- parmsNames[indx]
names,rpart.poisson.R,rpart.poisson,17,names(parms)
names,rpart.poisson.R,rpart.poisson,19,names(parms)
names,rpart.poisson.R,rpart.poisson,22,names(parms)[indx == 0L]
names,rpart.poisson.R,rpart.poisson,23,names(parms)
names,text.rpart.R,text.rpart,16,names(frame)
names,xpred.rpart.R,xpred.rpart,22,names(fit$call)
names,xpred.rpart.R,xpred.rpart,55,names(xlevels)
names,xpred.rpart.R,xpred.rpart,56,names(xlevels)
