language_dependency,file_path,function_name,line_number,call_body
ncol,na.rpart.R,na.rpart,7,ncol(xmiss)
ncol,na.rpart.R,na.rpart,7,ncol(xmiss)
ncol,na.rpart.R,na.rpart,12,ncol(xmiss)
ncol,na.rpart.R,na.rpart,12,ncol(xmiss)
ncol,na.rpart.R,na.rpart,13,ncol(ymiss)
ncol,na.rpart.R,na.rpart,13,ncol(ymiss)
ncol,na.rpart.R,na.rpart,14,ncol(xmiss)
ncol,na.rpart.R,na.rpart,14,ncol(xmiss)
ncol,plotcp.R,plotcp,10,ncol(p.rpart)
ncol,rpart.R,rpart,33,ncol(X)
ncol,rpart.R,rpart,83,ncol(X)
ncol,rpart.R,rpart,179,ncol(rpfit$cptable)
ncol,rpart.R,rpart,212,ncol(cs)
ncol,rpart.R,rpart,212,ncol(newc)
ncol,rpart.R,tfun,152,ncol(x)
ncol,rpart.class.R,rpart.class,61,ncol(yval)
ncol,rpart.class.R,rpart.class,70,ncol(yprob)
ncol,rpart.class.R,rpart.class,75,ncol(yval)
ncol,rpart.class.R,rpart.class,98,ncol(yval)
ncol,rpart.exp.R,rpart.exp,17,ncol(y)
ncol,rpart.poisson.R,rpart.poisson,4,ncol(y)
ncol,xpred.rpart.R,xpred.rpart,36,ncol(Y)
ncol,xpred.rpart.R,xpred.rpart,40,ncol(Y)
ncol,xpred.rpart.R,xpred.rpart,44,ncol(Y)
ncol,xpred.rpart.R,xpred.rpart,49,ncol(X)
ncol,xpred.rpart.R,xpred.rpart,105,ncol(Y)
