language_dependency,file_path,function_name,line_number,call_body
nrow,formatg.R,formatg,9,nrow(x)
nrow,labels.rpart.R,labels.rpart,27,nrow(ff)
nrow,plot.rpart.R,plot.rpart,6,nrow(x$frame)
nrow,pred.rpart.R,pred.rpart,6,nrow(frame)
nrow,pred.rpart.R,pred.rpart,7,nrow(x)
nrow,pred.rpart.R,pred.rpart,11,nrow(frame)
nrow,rpart.R,rpart,29,nrow(m)
nrow,rpart.R,rpart,32,nrow(X)
nrow,rpart.R,rpart,173,nrow(rpfit$isplit)
nrow,rpart.R,rpart,175,nrow(rpfit$csplit)
nrow,rpart.R,rpart,180,nrow(rpfit$cptable)
nrow,rpart.R,rpart,213,nrow(cs)
nrow,rpart.exp.R,rpart.exp,18,nrow(y)
nrow,snip.rpart.R,snip.rpart,58,nrow(x$csplit)
nrow,summary.rpart.R,summary.rpart,44,nrow(x$splits)
nrow,text.rpart.R,text.rpart,12,nrow(x$frame)
nrow,text.rpart.R,text.rpart,50,nrow(frame)
nrow,xpred.rpart.R,xpred.rpart,48,nrow(X)
nrow,xpred.rpart.R,xpred.rpart,71,nrow(X)
nrow,xpred.rpart.R,xpred.rpart,137,nrow(X)
nrow,xpred.rpart.R,xpred.rpart,141,nrow(X)
