language_dependency,file_path,function_name,line_number,call_body
rep,labels.rpart.R,labels.rpart,87,"rep(""<leaf>"", n)"
rep,na.rpart.R,na.rpart,7,"rep(1, ncol(xmiss))"
rep,na.rpart.R,na.rpart,12,"rep(1, ncol(xmiss))"
rep,na.rpart.R,na.rpart,13,"rep(1, ncol(ymiss))"
rep,na.rpart.R,na.rpart,14,"rep(1, ncol(xmiss))"
rep,pred.rpart.R,pred.rpart,7,"rep(1, nrow(x), names = rownames(x))"
rep,pred.rpart.R,pred.rpart,20,"rep(0L, 2L)"
rep,print.rpart.R,print.rpart,11,"rep("" "", spaces * 32L)"
rep,print.rpart.R,print.rpart,23,"rep("" "", length(depth))"
rep,rpart.R,rpart,29,"rep(1, nrow(m))"
rep,rpart.R,rpart,83,"rep(0L, ncol(X))"
rep,rpart.R,rpart,119,"rep(1L:xval, length.out = nobs)"
rep,rpart.R,rpart,139,"rep(1, nvar)"
rep,rpart.R,tfun,152,"rep(is.ordered(x), ncol(x))"
rep,rpart.class.R,rpart.class,13,"rep(1, numclass^2)"
rep,snip.rpart.R,snip.rpart,52,"rep(1L:ff.n, ff$ncompete + ff$nsurrogate + (ff$var != ""<leaf>""))"
rep,text.rpart.R,text.rpart,50,"rep(TRUE, nrow(frame))"
rep,xpred.rpart.R,xpred.rpart,50,"rep(1, nobs)"
rep,xpred.rpart.R,xpred.rpart,52,"rep(0, nvar)"
rep,xpred.rpart.R,xpred.rpart,70,"rep(1L:xval, length.out = nobs)"
rep,xpred.rpart.R,xpred.rpart,88,"rep(1, nvar)"
