language_dependency,file_path,function_name,line_number,call_body
row.names,labels.rpart.R,labels.rpart,100,row.names(ff)
row.names,meanvar.rpart.R,meanvar.rpart,12,row.names(frame)
row.names,na.rpart.R,na.rpart,19,row.names(x)
row.names,path.rpart.R,path.rpart,9,row.names(frame)
row.names,plot.rpart.R,plot.rpart,27,row.names(x$frame)
row.names,pred.rpart.R,pred.rpart,21,row.names(frame)
row.names,print.rpart.R,print.rpart,9,row.names(frame)
row.names,prune.rpart.R,prune.rpart,4,row.names(ff)
row.names,rpart.R,rpart,269,row.names(m)
row.names,rpartco.R,rpartco,12,row.names(frame)
row.names,snip.rpart.R,snip.rpart,14,row.names(ff)
row.names,snip.rpart.mouse.R,snip.rpart.mouse,21,row.names(tree$frame)
row.names,summary.rpart.R,summary.rpart,34,row.names(ff)
row.names,text.rpart.R,text.rpart,23,row.names(frame)
