language_dependency,file_path,function_name,line_number,call_body
seq_along,importance.R,importance,13,seq_along(fpri)
seq_along,importance.R,importance,28,seq_along(fpri)
seq_along,labels.rpart.R,labels.rpart,59,seq_along(ncat)
seq_along,labels.rpart.R,labels.rpart,68,seq_along(z)
seq_along,labels.rpart.R,labels.rpart,74,seq_along(jrow)
seq_along,plotcp.R,plotcp,15,seq_along(nsplit)
seq_along,plotcp.R,plotcp,35,seq_along(xerror)
seq_along,summary.rpart.R,summary.rpart,37,seq_along(id)
seq_along,summary.rpart.R,summary.rpart,46,seq_along(cuts)
seq_along,summary.rpart.R,summary.rpart,68,seq_along(rows)
