language_dependency,file_path,function_name,line_number,call_body
stop,formatg.R,formatg,6,"stop(""'x' must be a numeric vector"")"
stop,meanvar.rpart.R,meanvar.rpart,5,"stop(""Not a legitimate \""rpart\"" object"")"
stop,meanvar.rpart.R,meanvar.rpart,7,"stop(""Plot not useful for classification or poisson trees"")"
stop,path.rpart.R,path.rpart,6,"stop(""Not a legitimate \""rpart\"" object"")"
stop,plot.rpart.R,plot.rpart,5,"stop(""Not a legitimate \""rpart\"" object"")"
stop,plot.rpart.R,plot.rpart,6,"stop(""fit is not a tree, just a root"")"
stop,plotcp.R,plotcp,7,"stop(""Not a legitimate \""rpart\"" object"")"
stop,pred.rpart.R,pred.rpart,15,"stop(""Tree has variables not found in new data"")"
stop,predict.rpart.R,predict.rpart,5,"stop(""Not a legitimate \""rpart\"" object"")"
stop,predict.rpart.R,predict.rpart,32,"stop(""type 'class' is only appropriate for classification"")"
stop,predict.rpart.R,predict.rpart,38,"stop(""Invalid prediction for \""rpart\"" object"")"
stop,print.rpart.R,print.rpart,4,"stop(""Not a legitimate \""rpart\"" object"")"
stop,printcp.R,printcp,4,"stop (""'x' must be an \""rpart\"" object"")"
stop,residuals.rpart.R,residuals.rpart,5,"stop(""Not a legitimate \""rpart\"" object"")"
stop,residuals.rpart.R,residuals.rpart,12,"stop(""Invalid type of residual"")"
stop,roc.rpart.R,roc.rpart,6,"stop('Not legitimate ""rpart"" tree and endpoint not a 2 level-factor')"
stop,rpart.R,rpart,15,"stop(""a 'formula' argument is required"")"
stop,rpart.R,rpart,24,"stop(""Trees cannot handle interaction terms"")"
stop,rpart.R,rpart,28,"stop(""negative weights not allowed"")"
stop,rpart.R,rpart,59,"stop(""Invalid method"")"
stop,rpart.R,rpart,99,"stop(gettextf(""Argument %s not matched"",
                          names(extraArgs)[indx == 0L]),
                 domain = NA)"
stop,rpart.R,rpart,109,"stop(""unkown named elements in 'control'"")"
stop,rpart.R,rpart,132,"stop(""Wrong length for 'xval'"")"
stop,rpart.R,rpart,133,"stop(""Wrong length for 'xval'"")"
stop,rpart.R,rpart,142,"stop(""Cost vector is the wrong length"")"
stop,rpart.R,rpart,143,"stop(""Cost vector must be positive"")"
stop,rpart.R,rpart,262,"stop(""Initialization routine is missing the 'summary' function"")"
stop,rpart.branch.R,rpart.branch,10,"stop(""no information available on parameters from previous call to plot()"")"
stop,rpart.class.R,rpart.class,3,"stop(""No offset allowed in classification models"")"
stop,rpart.class.R,rpart.class,17,"stop(""The parms list must have names"")"
stop,rpart.class.R,rpart.class,20,"stop(gettextf(""'parms' component not matched: %s"",
                          names(parms)[temp == 0L]), domain = NA)"
stop,rpart.class.R,rpart.class,27,"stop(""Priors must sum to 1"")"
stop,rpart.class.R,rpart.class,28,"stop(""Priors must be >= 0"")"
stop,rpart.class.R,rpart.class,29,"stop(""Wrong length for priors"")"
stop,rpart.class.R,rpart.class,36,"stop(""Wrong length for loss matrix"")"
stop,rpart.class.R,rpart.class,39,"stop(""Loss matrix must have zero on diagonals"")"
stop,rpart.class.R,rpart.class,41,"stop(""Loss matrix cannot have negative elements"")"
stop,rpart.class.R,rpart.class,43,"stop(""Loss matrix has a row of zeros"")"
stop,rpart.class.R,rpart.class,49,"stop(""Invalid splitting rule"")"
stop,rpart.class.R,rpart.class,53,"stop(""Parameter argument must be a list"")"
stop,rpart.control.R,rpart.control,15,"stop(""Maximum depth is 30"")"
stop,rpart.control.R,rpart.control,16,"stop(""Maximum depth must be at least 1"")"
stop,rpart.exp.R,rpart.exp,15,"stop(""Response must be a 'survival' object - use the 'Surv()' function"")"
stop,rpart.exp.R,rpart.exp,21,"stop(""Observation time must be > 0"")"
stop,rpart.exp.R,rpart.exp,22,"stop(""No deaths in data set"")"
stop,rpart.exp.R,rpart.exp,112,"stop(""You must input a named list for parms"")"
stop,rpart.exp.R,rpart.exp,116,"stop(gettextf(""'parms' component not matched: %s"", names(parms)[indx == 0L]), domain = NA)"
stop,rpart.exp.R,rpart.exp,122,"stop(""Invalid error method for Poisson"")"
stop,rpart.exp.R,rpart.exp,127,"stop(""Invalid shrinkage value"")"
stop,rpart.poisson.R,rpart.poisson,5,"stop(""response must be a 2 column matrix or a vector"")"
stop,rpart.poisson.R,rpart.poisson,11,"stop(""Observation time must be > 0"")"
stop,rpart.poisson.R,rpart.poisson,12,"stop(""Number of events must be >= 0"")"
stop,rpart.poisson.R,rpart.poisson,17,"stop(""You must input a named list for parms"")"
stop,rpart.poisson.R,rpart.poisson,21,"stop(gettextf(""'parms' component not matched: %s"",
                          names(parms)[indx == 0L]), domain = NA)"
stop,rpart.poisson.R,rpart.poisson,27,"stop(""Invalid error method for Poisson"")"
stop,rpart.poisson.R,rpart.poisson,33,"stop(""Invalid shrinkage value"")"
stop,rpartcallback.R,rpartcallback,7,"stop(""User written methods must have 3 functions"")"
stop,rpartcallback.R,rpartcallback,9,"stop(""User written method does not contain an 'init' function"")"
stop,rpartcallback.R,rpartcallback,11,"stop(""User written method does not contain a 'split' function"")"
stop,rpartcallback.R,rpartcallback,13,"stop(""User written method does not contain an 'eval' function"")"
stop,rpartcallback.R,rpartcallback,36,"stop(""User 'eval' function returned invalid label"")"
stop,rpartcallback.R,rpartcallback,38,"stop(""User 'eval' function returned invalid deviance"")"
stop,rpartcallback.R,rpartcallback,49,"stop(""Invalid return from categorical 'split' function"")"
stop,rpartcallback.R,rpartcallback,54,"stop(""User 'split' function returned invalid goodness"")"
stop,rpartcallback.R,rpartcallback,56,"stop(""User 'split' function returned invalid direction"")"
stop,rpartcallback.R,rpartcallback,65,"stop(""User 'eval' function returned invalid label"")"
stop,rpartcallback.R,rpartcallback,67,"stop(""User 'eval' function returned invalid deviance"")"
stop,rpartcallback.R,rpartcallback,79,"stop(""Invalid return from categorical 'split' function"")"
stop,rpartcallback.R,rpartcallback,85,"stop(""User 'split' function returned invalid goodness"")"
stop,rpartcallback.R,rpartcallback,87,"stop(""User 'split' function returned invalid direction"")"
stop,rpartco.R,rpartco,7,"stop(""no information available on parameters from previous call to plot()"")"
stop,rsq.rpart.R,rsq.rpart,7,"stop(""Not a legitimate \""rpart\"" object"")"
stop,snip.rpart.R,snip.rpart,6,"stop(""Not an \""rpart\"" object"")"
stop,snip.rpart.mouse.R,snip.rpart.mouse,9,"stop(""no information available on parameters from previous call to plot()"")"
stop,summary.rpart.R,summary.rpart,4,"stop(""Not a legitimate \""rpart\"" object"")"
stop,text.rpart.R,text.rpart,11,"stop(""Not a legitimate \""rpart\"" object"")"
stop,text.rpart.R,text.rpart,12,"stop(""fit is not a tree, just a root"")"
stop,xpred.rpart.R,xpred.rpart,7,"stop(""Invalid fit object"")"
stop,xpred.rpart.R,xpred.rpart,83,"stop(""Wrong length for 'xval'"")"
stop,xpred.rpart.R,xpred.rpart,84,"stop(""Wrong length for 'xval'"")"
