external_item,header_file,category,file_name,line_number,context_statement
DL_FUNC,R_ext/Rdynload.h,type,init.c,12,"static const R_CallMethodDef CallEntries[] = { {""init_rpcallback"", (DL_FUNC) &init_rpcallback, 5}, {""rpart"", (DL_FUNC) &rpart, 11}, {""xpred"", (DL_FUNC) &xpred, 15}, {""rpartexp2"", (DL_FUNC) &rpartexp2, 2}, {""pred_rpart"", (DL_FUNC) &pred_rpart, 12}, {NULL, NULL, 0} };"
DllInfo,R_ext/Rdynload.h,type,init.c,23,R_init_rpart(DllInfo * dll)
INTSXP,Rinternals.h,type,pred_rpart.c,139,"SEXP where = PROTECT(allocVector(INTSXP, n));"
INTSXP,Rinternals.h,type,rpart.c,194,"which3 = PROTECT(allocVector(INTSXP, n));"
INTSXP,Rinternals.h,type,rpart.c,278,"inode3 = PROTECT(allocMatrix(INTSXP, nodecount, 6));"
INTSXP,Rinternals.h,type,rpart.c,285,"isplit3 = PROTECT(allocMatrix(INTSXP, splitcount, 3));"
INTSXP,Rinternals.h,type,rpart.c,293,"csplit3 = PROTECT(allocMatrix(INTSXP, catcount, maxcat));"
INTSXP,Rinternals.h,type,rpartexp2.c,47,"SEXP keep = PROTECT(allocVector(INTSXP, n));"
REALSXP,Rinternals.h,type,rpart.c,241,"cptable3 = PROTECT(allocMatrix(REALSXP, xvals > 1 ? 5 : 3, rp.num_unique_cp));"
REALSXP,Rinternals.h,type,rpart.c,261,"dnode3 = PROTECT(allocMatrix(REALSXP, nodecount, (3 + rp.num_resp)));"
REALSXP,Rinternals.h,type,rpart.c,269,"dsplit3 = PROTECT(allocMatrix(REALSXP, splitcount, 3));"
REALSXP,Rinternals.h,type,xpred.c,209,"predict2 = PROTECT(allocVector(REALSXP, n * ncp * nresp));"
R_CallMethodDef,R_ext/Rdynload.h,type,init.c,12,"static const R_CallMethodDef CallEntries[] = { {""init_rpcallback"", (DL_FUNC) &init_rpcallback, 5}, {""rpart"", (DL_FUNC) &rpart, 11}, {""xpred"", (DL_FUNC) &xpred, 15}, {""rpartexp2"", (DL_FUNC) &rpartexp2, 2}, {""pred_rpart"", (DL_FUNC) &pred_rpart, 12}, {NULL, NULL, 0} };"
Rboolean,R_ext/Boolean.h,type,rpart_callback.c,20,"static SEXP compat_getVar(SEXP sym, SEXP rho, Rboolean inherits)"
SEXP,Rinternals.h,type,init.c,6,"SEXP init_rpcallback(SEXP rhox, SEXP ny, SEXP nr, SEXP expr1x, SEXP expr2x);"
SEXP,Rinternals.h,type,init.c,7,"SEXP rpartexp2(SEXP dtimes, SEXP seps);"
SEXP,Rinternals.h,type,init.c,8,"SEXP pred_rpart(SEXP dimx, SEXP nnode, SEXP nsplit, SEXP dimc, SEXP nnum, SEXP nodes2, SEXP vnum, SEXP split2, SEXP csplit2, SEXP usesur, SEXP xdata2, SEXP xmiss2);"
SEXP,Rinternals.h,type,pred_rpart.c,133,"SEXP pred_rpart(SEXP dimx, SEXP nnode, SEXP nsplit, SEXP dimc, SEXP nnum, SEXP nodes2, SEXP vnum, SEXP split2, SEXP csplit2, SEXP usesur, SEXP xdata2, SEXP xmiss2)"
SEXP,Rinternals.h,type,pred_rpart.c,139,"SEXP where = PROTECT(allocVector(INTSXP, n));"
SEXP,Rinternals.h,type,rpart.c,40,"SEXP rpart(SEXP ncat2, SEXP method2, SEXP opt2, SEXP parms2, SEXP xvals2, SEXP xgrp2, SEXP ymat2, SEXP xmat2, SEXP wt2, SEXP ny2, SEXP cost2)"
SEXP,Rinternals.h,type,rpart.c,64,"SEXP which3, cptable3, dsplit3, isplit3, csplit3 = R_NilValue, /* -Wall */ dnode3, inode3;"
SEXP,Rinternals.h,type,rpart.c,327,"SEXP rlist = PROTECT(allocVector(VECSXP, nout));"
SEXP,Rinternals.h,type,rpart.c,328,"SEXP rname = allocVector(STRSXP, nout);"
SEXP,Rinternals.h,type,rpart_callback.c,20,"static SEXP compat_getVar(SEXP sym, SEXP rho, Rboolean inherits)"
SEXP,Rinternals.h,type,rpart_callback.c,33,static SEXP expr1;
SEXP,Rinternals.h,type,rpart_callback.c,34,static SEXP expr2;
SEXP,Rinternals.h,type,rpart_callback.c,35,static SEXP rho;
SEXP,Rinternals.h,type,rpart_callback.c,47,"SEXP init_rpcallback(SEXP rhox, SEXP ny, SEXP nr, SEXP expr1x, SEXP expr2x)"
SEXP,Rinternals.h,type,rpart_callback.c,51,SEXP stemp;
SEXP,Rinternals.h,type,rpart_callback.c,92,SEXP value;
SEXP,Rinternals.h,type,rpart_callback.c,131,SEXP goodness;
SEXP,Rinternals.h,type,rpartexp2.c,43,"SEXP rpartexp2(SEXP dtimes, SEXP eps)"
SEXP,Rinternals.h,type,rpartexp2.c,47,"SEXP keep = PROTECT(allocVector(INTSXP, n));"
SEXP,Rinternals.h,type,rpartproto.h,39,"SEXP rpart(SEXP ncat2, SEXP method2, SEXP opt2, SEXP parms2, SEXP ymat2, SEXP xmat2, SEXP xvals2, SEXP xgrp2, SEXP wt2, SEXP ny2, SEXP cost2);"
SEXP,Rinternals.h,type,rpartproto.h,57,"SEXP xpred(SEXP ncat2, SEXP method2, SEXP opt2, SEXP parms2, SEXP xvals2, SEXP xgrp2, SEXP ymat2, SEXP xmat2, SEXP wt2, SEXP ny2, SEXP cost2, SEXP all2, SEXP cp2, SEXP toprisk2, SEXP nresp2);"
SEXP,Rinternals.h,type,xpred.c,33,"SEXP xpred(SEXP ncat2, SEXP method2, SEXP opt2, SEXP parms2, SEXP xvals2, SEXP xgrp2, SEXP ymat2, SEXP xmat2, SEXP wt2, SEXP ny2, SEXP cost2, SEXP all2, SEXP cp2, SEXP toprisk2, SEXP nresp2)"
SEXP,Rinternals.h,type,xpred.c,63,SEXP predict2;
STRSXP,Rinternals.h,type,rpart.c,328,"SEXP rname = allocVector(STRSXP, nout);"
VECSXP,Rinternals.h,type,rpart.c,327,"SEXP rlist = PROTECT(allocVector(VECSXP, nout));"
FALSE,R_ext/Boolean.h,variable,init.c,26,"R_useDynamicSymbols(dll, FALSE);"
FALSE,R_ext/Boolean.h,variable,rpart_callback.c,59,"stemp = R_getVar(install(""yback""), rho, FALSE);"
FALSE,R_ext/Boolean.h,variable,rpart_callback.c,62,"stemp = R_getVar(install(""wback""), rho, FALSE);"
FALSE,R_ext/Boolean.h,variable,rpart_callback.c,65,"stemp = R_getVar(install(""xback""), rho, FALSE);"
FALSE,R_ext/Boolean.h,variable,rpart_callback.c,68,"stemp = R_getVar(install(""nback""), rho, FALSE);"
R_NamesSymbol,Rinternals.h,variable,rpart.c,329,"setAttrib(rlist, R_NamesSymbol, rname);"
R_NilValue,Rinternals.h,variable,rpart.c,64,"SEXP which3, cptable3, dsplit3, isplit3, csplit3 = R_NilValue, /* -Wall */ dnode3, inode3;"
R_NilValue,Rinternals.h,variable,rpart_callback.c,71,return R_NilValue;
R_UnboundValue,Rinternals.h,variable,rpart_callback.c,23,if (val == R_UnboundValue)
R_VERSION,Rversion.h,variable,init.c,27,"#if defined(R_VERSION) && R_VERSION >= R_Version(2, 16, 0)"
R_VERSION,Rversion.h,variable,rpart_callback.c,19,"#if R_VERSION < R_Version(4, 5, 0)"
TRUE,R_ext/Boolean.h,variable,init.c,28,"R_forceSymbols(dll, TRUE);"
CHAR,Rinternals.h,function,rpart_callback.c,24,"error(_(""variable '%s' not found""), CHAR(PRINTNAME(sym)));"
INTEGER,Rinternals.h,function,pred_rpart.c,140,"pred_rpart0(INTEGER(dimx), asInteger(nnode), asInteger(nsplit), INTEGER(dimc), INTEGER(nnum), INTEGER(nodes2), INTEGER(vnum), REAL(split2), INTEGER(csplit2), INTEGER(usesur), REAL(xdata2), INTEGER(xmiss2), INTEGER(where));"
INTEGER,Rinternals.h,function,rpart.c,75,ncat = INTEGER(ncat2);
INTEGER,Rinternals.h,function,rpart.c,76,xgrp = INTEGER(xgrp2);
INTEGER,Rinternals.h,function,rpart.c,112,rp.numcat = INTEGER(ncat2);
