external_item,header_file,category,file_name,line_number,context_statement
SEXP,Rinternals.h,type,init.c,6,"SEXP init_rpcallback(SEXP rhox, SEXP ny, SEXP nr, SEXP expr1x, SEXP expr2x);"
SEXP,Rinternals.h,type,init.c,7,"SEXP rpartexp2(SEXP dtimes, SEXP seps);"
SEXP,Rinternals.h,type,init.c,8,"SEXP pred_rpart(SEXP dimx, SEXP nnode, SEXP nsplit, SEXP dimc, SEXP nnum, SEXP nodes2, SEXP vnum, SEXP split2, SEXP csplit2, SEXP usesur, SEXP xdata2, SEXP xmiss2);"
DL_FUNC,R_ext/Rdynload.h,type,init.c,12,"static const R_CallMethodDef CallEntries[] = { {""init_rpcallback"", (DL_FUNC) &init_rpcallback, 5}, {""rpart"", (DL_FUNC) &rpart, 11}, {""xpred"", (DL_FUNC) &xpred, 15}, {""rpartexp2"", (DL_FUNC) &rpartexp2, 2}, {""pred_rpart"", (DL_FUNC) &pred_rpart, 12}, {NULL, NULL, 0} };"
R_CallMethodDef,R_ext/Rdynload.h,type,init.c,12,"static const R_CallMethodDef CallEntries[] = { {""init_rpcallback"", (DL_FUNC) &init_rpcallback, 5}, {""rpart"", (DL_FUNC) &rpart, 11}, {""xpred"", (DL_FUNC) &xpred, 15}, {""rpartexp2"", (DL_FUNC) &rpartexp2, 2}, {""pred_rpart"", (DL_FUNC) &pred_rpart, 12}, {NULL, NULL, 0} };"
DllInfo,R_ext/Rdynload.h,type,init.c,23,"R_init_rpart(DllInfo * dll)"
R_registerRoutines,R_ext/Rdynload.h,function,init.c,25,"R_registerRoutines(dll, NULL, CallEntries, NULL, NULL);"
FALSE,R_ext/Boolean.h,variable,init.c,26,"R_useDynamicSymbols(dll, FALSE);"
R_useDynamicSymbols,R_ext/Rdynload.h,function,init.c,26,"R_useDynamicSymbols(dll, FALSE);"
R_VERSION,Rversion.h,variable,init.c,27,"#if defined(R_VERSION) && R_VERSION >= R_Version(2, 16, 0)"
R_Version,Rversion.h,function,init.c,27,"#if defined(R_VERSION) && R_VERSION >= R_Version(2, 16, 0)"
R_forceSymbols,R_ext/Rdynload.h,function,init.c,28,"R_forceSymbols(dll, TRUE);"
TRUE,R_ext/Boolean.h,variable,init.c,28,"R_forceSymbols(dll, TRUE);"
