external_item,header_file,category,file_name,line_number,context_statement
SEXP,Rinternals.h,type,rpart.c,40,"SEXP rpart(SEXP ncat2, SEXP method2, SEXP opt2, SEXP parms2, SEXP xvals2, SEXP xgrp2, SEXP ymat2, SEXP xmat2, SEXP wt2, SEXP ny2, SEXP cost2)"
SEXP,Rinternals.h,type,rpart.c,64,"SEXP which3, cptable3, dsplit3, isplit3, csplit3 = R_NilValue, /* -Wall */ dnode3, inode3;"
R_NilValue,Rinternals.h,variable,rpart.c,64,"SEXP which3, cptable3, dsplit3, isplit3, csplit3 = R_NilValue, /* -Wall */ dnode3, inode3;"
INTEGER,Rinternals.h,function,rpart.c,75,"ncat = INTEGER(ncat2);"
INTEGER,Rinternals.h,function,rpart.c,76,"xgrp = INTEGER(xgrp2);"
asInteger,Rinternals.h,function,rpart.c,77,"xvals = asInteger(xvals2);"
REAL,Rinternals.h,function,rpart.c,78,"wt = REAL(wt2);"
REAL,Rinternals.h,function,rpart.c,79,"parms = REAL(parms2);"
asInteger,Rinternals.h,function,rpart.c,83,"if (asInteger(method2) <= NUM_METHODS) {"
asInteger,Rinternals.h,function,rpart.c,84,"i = asInteger(method2) - 1;"
asInteger,Rinternals.h,function,rpart.c,89,"rp.num_y = asInteger(ny2);"
error,R_ext/Error.h,function,rpart.c,91,"error(_(""Invalid value for 'method'""));"
REAL,Rinternals.h,function,rpart.c,96,"dptr = REAL(opt2);"
nrows,Rinternals.h,function,rpart.c,108,"rp.n = nrows(xmat2);"
ncols,Rinternals.h,function,rpart.c,111,"rp.nvar = ncols(xmat2);"
INTEGER,Rinternals.h,function,rpart.c,112,"rp.numcat = INTEGER(ncat2);"
REAL,Rinternals.h,function,rpart.c,115,"rp.vcost = REAL(cost2);"
REAL,Rinternals.h,function,rpart.c,122,"dptr = REAL(xmat2);"
REAL,Rinternals.h,function,rpart.c,130,"dptr = REAL(ymat2);"
R_FINITE,R_ext/Arith.h,function,rpart.c,154,"if (!R_FINITE(rp.xdata[i][k])) {"
allocVector,Rinternals.h,function,rpart.c,194,"which3 = PROTECT(allocVector(INTSXP, n));"
INTSXP,Rinternals.h,type,rpart.c,194,"which3 = PROTECT(allocVector(INTSXP, n));"
PROTECT,Rinternals.h,function,rpart.c,194,"which3 = PROTECT(allocVector(INTSXP, n));"
INTEGER,Rinternals.h,function,rpart.c,195,"rp.which = INTEGER(which3);"
error,R_ext/Error.h,function,rpart.c,203,"error(""%s"",errmsg);"
allocMatrix,Rinternals.h,function,rpart.c,241,"cptable3 = PROTECT(allocMatrix(REALSXP, xvals > 1 ? 5 : 3, rp.num_unique_cp));"
PROTECT,Rinternals.h,function,rpart.c,241,"cptable3 = PROTECT(allocMatrix(REALSXP, xvals > 1 ? 5 : 3, rp.num_unique_cp));"
REALSXP,Rinternals.h,type,rpart.c,241,"cptable3 = PROTECT(allocMatrix(REALSXP, xvals > 1 ? 5 : 3, rp.num_unique_cp));"
REAL,Rinternals.h,function,rpart.c,243,"dptr = REAL(cptable3);"
allocMatrix,Rinternals.h,function,rpart.c,261,"dnode3 = PROTECT(allocMatrix(REALSXP, nodecount, (3 + rp.num_resp)));"
PROTECT,Rinternals.h,function,rpart.c,261,"dnode3 = PROTECT(allocMatrix(REALSXP, nodecount, (3 + rp.num_resp)));"
REALSXP,Rinternals.h,type,rpart.c,261,"dnode3 = PROTECT(allocMatrix(REALSXP, nodecount, (3 + rp.num_resp)));"
REAL,Rinternals.h,function,rpart.c,263,"dptr = REAL(dnode3);"
allocMatrix,Rinternals.h,function,rpart.c,269,"dsplit3 = PROTECT(allocMatrix(REALSXP, splitcount, 3));"
PROTECT,Rinternals.h,function,rpart.c,269,"dsplit3 = PROTECT(allocMatrix(REALSXP, splitcount, 3));"
REALSXP,Rinternals.h,type,rpart.c,269,"dsplit3 = PROTECT(allocMatrix(REALSXP, splitcount, 3));"
REAL,Rinternals.h,function,rpart.c,270,"dptr = REAL(dsplit3);"
allocMatrix,Rinternals.h,function,rpart.c,278,"inode3 = PROTECT(allocMatrix(INTSXP, nodecount, 6));"
INTSXP,Rinternals.h,type,rpart.c,278,"inode3 = PROTECT(allocMatrix(INTSXP, nodecount, 6));"
PROTECT,Rinternals.h,function,rpart.c,278,"inode3 = PROTECT(allocMatrix(INTSXP, nodecount, 6));"
INTEGER,Rinternals.h,function,rpart.c,279,"iptr = INTEGER(inode3);"
allocMatrix,Rinternals.h,function,rpart.c,285,"isplit3 = PROTECT(allocMatrix(INTSXP, splitcount, 3));"
INTSXP,Rinternals.h,type,rpart.c,285,"isplit3 = PROTECT(allocMatrix(INTSXP, splitcount, 3));"
PROTECT,Rinternals.h,function,rpart.c,285,"isplit3 = PROTECT(allocMatrix(INTSXP, splitcount, 3));"
INTEGER,Rinternals.h,function,rpart.c,286,"iptr = INTEGER(isplit3);"
allocMatrix,Rinternals.h,function,rpart.c,293,"csplit3 = PROTECT(allocMatrix(INTSXP, catcount, maxcat));"
INTSXP,Rinternals.h,type,rpart.c,293,"csplit3 = PROTECT(allocMatrix(INTSXP, catcount, maxcat));"
PROTECT,Rinternals.h,function,rpart.c,293,"csplit3 = PROTECT(allocMatrix(INTSXP, catcount, maxcat));"
INTEGER,Rinternals.h,function,rpart.c,295,"iptr = INTEGER(csplit3);"
SEXP,Rinternals.h,type,rpart.c,327,"SEXP rlist = PROTECT(allocVector(VECSXP, nout));"
allocVector,Rinternals.h,function,rpart.c,327,"SEXP rlist = PROTECT(allocVector(VECSXP, nout));"
PROTECT,Rinternals.h,function,rpart.c,327,"SEXP rlist = PROTECT(allocVector(VECSXP, nout));"
VECSXP,Rinternals.h,type,rpart.c,327,"SEXP rlist = PROTECT(allocVector(VECSXP, nout));"
SEXP,Rinternals.h,type,rpart.c,328,"SEXP rname = allocVector(STRSXP, nout);"
allocVector,Rinternals.h,function,rpart.c,328,"SEXP rname = allocVector(STRSXP, nout);"
STRSXP,Rinternals.h,type,rpart.c,328,"SEXP rname = allocVector(STRSXP, nout);"
R_NamesSymbol,Rinternals.h,variable,rpart.c,329,"setAttrib(rlist, R_NamesSymbol, rname);"
setAttrib,Rinternals.h,function,rpart.c,329,"setAttrib(rlist, R_NamesSymbol, rname);"
SET_VECTOR_ELT,Rinternals.h,function,rpart.c,330,"SET_VECTOR_ELT(rlist, 0, which3);"
mkChar,Rinternals.h,function,rpart.c,331,"SET_STRING_ELT(rname, 0, mkChar(""which""));"
SET_STRING_ELT,Rinternals.h,function,rpart.c,331,"SET_STRING_ELT(rname, 0, mkChar(""which""));"
SET_VECTOR_ELT,Rinternals.h,function,rpart.c,332,"SET_VECTOR_ELT(rlist, 1, cptable3);"
mkChar,Rinternals.h,function,rpart.c,333,"SET_STRING_ELT(rname, 1, mkChar(""cptable""));"
SET_STRING_ELT,Rinternals.h,function,rpart.c,333,"SET_STRING_ELT(rname, 1, mkChar(""cptable""));"
SET_VECTOR_ELT,Rinternals.h,function,rpart.c,334,"SET_VECTOR_ELT(rlist, 2, dsplit3);"
mkChar,Rinternals.h,function,rpart.c,335,"SET_STRING_ELT(rname, 2, mkChar(""dsplit""));"
SET_STRING_ELT,Rinternals.h,function,rpart.c,335,"SET_STRING_ELT(rname, 2, mkChar(""dsplit""));"
SET_VECTOR_ELT,Rinternals.h,function,rpart.c,336,"SET_VECTOR_ELT(rlist, 3, isplit3);"
mkChar,Rinternals.h,function,rpart.c,337,"SET_STRING_ELT(rname, 3, mkChar(""isplit""));"
SET_STRING_ELT,Rinternals.h,function,rpart.c,337,"SET_STRING_ELT(rname, 3, mkChar(""isplit""));"
