external_item,header_file,category,file_name,line_number,context_statement
R_VERSION,Rversion.h,variable,rpart_callback.c,19,"#if R_VERSION < R_Version(4, 5, 0)"
R_Version,Rversion.h,function,rpart_callback.c,19,"#if R_VERSION < R_Version(4, 5, 0)"
Rboolean,R_ext/Boolean.h,type,rpart_callback.c,20,"static SEXP compat_getVar(SEXP sym, SEXP rho, Rboolean inherits)"
SEXP,Rinternals.h,type,rpart_callback.c,20,"static SEXP compat_getVar(SEXP sym, SEXP rho, Rboolean inherits)"
findVar,Rinternals.h,function,rpart_callback.c,22,"SEXP val = inherits ? findVar(sym, rho) : findVarInFrame(rho, sym);"
findVarInFrame,Rinternals.h,function,rpart_callback.c,22,"SEXP val = inherits ? findVar(sym, rho) : findVarInFrame(rho, sym);"
R_UnboundValue,Rinternals.h,variable,rpart_callback.c,23,"if (val == R_UnboundValue)"
CHAR,Rinternals.h,function,rpart_callback.c,24,"error(_(""variable '%s' not found""), CHAR(PRINTNAME(sym)));"
PRINTNAME,Rinternals.h,function,rpart_callback.c,24,"error(_(""variable '%s' not found""), CHAR(PRINTNAME(sym)));"
error,R_ext/Error.h,function,rpart_callback.c,24,"error(_(""variable '%s' not found""), CHAR(PRINTNAME(sym)));"
SEXP,Rinternals.h,type,rpart_callback.c,33,"static SEXP expr1;"
SEXP,Rinternals.h,type,rpart_callback.c,34,"static SEXP expr2;"
SEXP,Rinternals.h,type,rpart_callback.c,35,"static SEXP rho;"
SEXP,Rinternals.h,type,rpart_callback.c,47,"SEXP init_rpcallback(SEXP rhox, SEXP ny, SEXP nr, SEXP expr1x, SEXP expr2x)"
SEXP,Rinternals.h,type,rpart_callback.c,51,"SEXP stemp;"
asInteger,Rinternals.h,function,rpart_callback.c,54,"ysave = asInteger(ny);"
asInteger,Rinternals.h,function,rpart_callback.c,55,"rsave = asInteger(nr);"
FALSE,R_ext/Boolean.h,variable,rpart_callback.c,59,"stemp = R_getVar(install(""yback""), rho, FALSE);"
R_getVar,Rinternals.h,function,rpart_callback.c,59,"stemp = R_getVar(install(""yback""), rho, FALSE);"
install,Rinternals.h,function,rpart_callback.c,59,"stemp = R_getVar(install(""yback""), rho, FALSE);"
REAL,Rinternals.h,function,rpart_callback.c,60,"ydata = REAL(stemp);"
FALSE,R_ext/Boolean.h,variable,rpart_callback.c,62,"stemp = R_getVar(install(""wback""), rho, FALSE);"
R_getVar,Rinternals.h,function,rpart_callback.c,62,"stemp = R_getVar(install(""wback""), rho, FALSE);"
install,Rinternals.h,function,rpart_callback.c,62,"stemp = R_getVar(install(""wback""), rho, FALSE);"
REAL,Rinternals.h,function,rpart_callback.c,63,"wdata = REAL(stemp);"
FALSE,R_ext/Boolean.h,variable,rpart_callback.c,65,"stemp = R_getVar(install(""xback""), rho, FALSE);"
R_getVar,Rinternals.h,function,rpart_callback.c,65,"stemp = R_getVar(install(""xback""), rho, FALSE);"
install,Rinternals.h,function,rpart_callback.c,65,"stemp = R_getVar(install(""xback""), rho, FALSE);"
REAL,Rinternals.h,function,rpart_callback.c,66,"xdata = REAL(stemp);"
FALSE,R_ext/Boolean.h,variable,rpart_callback.c,68,"stemp = R_getVar(install(""nback""), rho, FALSE);"
R_getVar,Rinternals.h,function,rpart_callback.c,68,"stemp = R_getVar(install(""nback""), rho, FALSE);"
install,Rinternals.h,function,rpart_callback.c,68,"stemp = R_getVar(install(""nback""), rho, FALSE);"
INTEGER,Rinternals.h,function,rpart_callback.c,69,"ndata = INTEGER(stemp);"
R_NilValue,Rinternals.h,variable,rpart_callback.c,71,"return R_NilValue;"
SEXP,Rinternals.h,type,rpart_callback.c,92,"SEXP value;"
eval,Rinternals.h,function,rpart_callback.c,112,"value = eval(expr2, rho);"
isReal,Rinternals.h,function,rpart_callback.c,113,"if (!isReal(value))"
error,R_ext/Error.h,function,rpart_callback.c,114,"error(_(""return value not a vector""));"
LENGTH,Rinternals.h,function,rpart_callback.c,115,"if (LENGTH(value) != (1 + rsave))"
error,R_ext/Error.h,function,rpart_callback.c,116,"error(_(""returned value is the wrong length""));"
REAL,Rinternals.h,function,rpart_callback.c,117,"dptr = REAL(value);"
SEXP,Rinternals.h,type,rpart_callback.c,131,"SEXP goodness;"
eval,Rinternals.h,function,rpart_callback.c,146,"goodness = eval(expr1, rho);"
isReal,Rinternals.h,function,rpart_callback.c,147,"if (!isReal(goodness))"
error,R_ext/Error.h,function,rpart_callback.c,148,"error(_(""the expression expr1 did not return a vector!""));"
LENGTH,Rinternals.h,function,rpart_callback.c,149,"j = LENGTH(goodness);"
REAL,Rinternals.h,function,rpart_callback.c,150,"dptr = REAL(goodness);"
